Kernel,gx,gy,gz,bx,by,bz,gpuId,shared_efficiency
1,1,64,5,32,5,2,0,0.0
0,2,64,5,2,10,8,0,0.0
1,2,16,4,32,25,1,0,0.0
1,1,5,20,2,64,8,0,0.0
0,4,2,20,8,5,16,0,0.0
1,25,2,2,32,2,16,0,0.0
1,10,5,4,2,256,1,0,0.0
1,160,10,1,1,16,4,0,0.0
1,80,5,1,16,1,16,0,0.0
1,20,1,5,16,4,16,0,0.0
1,5,1,80,1,32,8,0,0.0
1,80,1,2,4,16,10,0,0.0
1,5,32,4,10,1,16,0,0.0
1,2,1,320,16,1,10,0,0.0
1,32,25,1,8,8,2,0,0.0
0,5,1,80,1,8,32,0,0.0
1,4,1,400,2,16,2,0,0.0
1,25,1,8,2,256,1,0,0.0
1,160,4,1,32,1,5,0,0.0
1,1,160,2,10,1,32,0,0.0
0,1,2,80,1,20,32,0,0.0
0,8,2,8,4,50,4,0,0.0
0,1,50,16,4,2,16,0,0.0
1,2,2,80,5,4,16,0,0.0
1,160,4,1,40,4,1,0,0.0
1,16,8,1,2,25,16,0,0.0
1,20,8,5,8,4,4,0,0.0
1,1,16,10,8,4,20,0,0.0
1,4,25,16,32,2,1,0,0.0
0,2,1,80,2,8,40,0,0.0
0,320,1,1,4,20,4,0,0.0
1,5,16,8,8,5,4,0,0.0
0,2,2,80,20,8,2,0,0.0
1,2,16,4,100,4,2,0,0.0
1,2,25,8,1,256,1,0,0.0
1,4,2,50,8,32,1,0,0.0
1,20,2,16,20,2,4,0,0.0
1,1,2,64,100,2,4,0,0.0
1,1,32,25,2,2,32,0,0.0
1,160,4,1,1,32,5,0,0.0
1,200,2,8,1,32,1,0,0.0
1,1,20,20,4,1,64,0,0.0
1,5,10,4,256,1,2,0,0.0
1,8,10,4,1,80,4,0,0.0
1,4,16,5,8,8,5,0,0.0
1,1600,1,2,1,1,32,0,0.0
1,40,2,5,64,2,2,0,0.0
1,64,1,25,8,1,8,0,0.0
1,16,4,10,2,4,20,0,0.0
1,80,1,2,5,4,32,0,0.0
1,1,40,8,10,8,4,0,0.0
1,100,8,2,2,32,1,0,0.0
1,200,2,4,16,2,2,0,0.0
1,25,8,2,16,4,4,0,0.0
1,32,5,20,16,1,2,0,0.0
1,4,8,50,2,1,32,0,0.0
0,200,4,1,4,8,4,0,0.0
1,200,2,4,64,1,1,0,0.0
0,16,1,8,80,5,2,0,0.0
1,1,4,32,160,1,5,0,0.0
1,10,8,40,1,16,2,0,0.0
1,1,20,160,4,4,2,0,0.0
1,5,40,2,8,2,16,0,0.0
1,2,4,50,4,64,1,0,0.0
1,5,1,128,8,20,1,0,0.0
1,1,40,80,1,2,16,0,0.0
0,2,2,50,32,8,2,0,0.0
1,20,16,2,16,5,2,0,0.0
1,320,1,2,8,10,2,0,0.0
1,3200,1,1,2,1,16,0,0.0
1,40,1,80,16,1,2,0,0.0
0,8,20,4,2,40,2,0,0.0
1,16,20,1,80,4,1,0,0.0
1,32,25,1,16,2,4,0,0.0
1,20,4,4,32,5,2,0,0.0
1,128,1,1,8,50,2,0,0.0
1,8,16,1,2,400,1,0,0.0
1,1,2,64,16,5,10,0,0.0
0,4,16,10,40,1,4,0,0.0
1,50,4,8,4,1,16,0,0.0
1,8,4,5,10,8,8,0,0.0
1,1,1600,1,4,8,2,0,0.0
1,32,50,1,1,16,4,0,0.0
1,1,16,10,8,2,40,0,0.0
1,32,25,2,1,2,32,0,0.0
0,40,1,5,8,8,8,0,0.0
1,5,64,1,8,2,20,0,0.0
1,16,4,25,8,4,2,0,0.0
1,1,1,200,8,64,1,0,0.0
1,25,32,1,2,1,64,0,0.0
1,2,320,1,5,1,32,0,0.0
1,1,4,160,2,80,1,0,0.0
1,10,40,8,1,16,2,0,0.0
0,4,16,25,4,8,2,0,0.0
0,1,4,80,32,5,2,0,0.0
1,5,8,16,10,4,4,0,0.0
1,1,50,16,1,32,4,0,0.0
1,25,2,4,256,1,2,0,0.0
1,2,8,50,4,4,8,0,0.0
1,50,1,2,4,256,1,0,0.0
1,8,1,100,8,16,1,0,0.0
1,32,1,25,16,2,4,0,0.0
1,2,32,2,5,10,16,0,0.0
1,5,4,16,2,80,2,0,0.0
0,2,16,10,40,8,1,0,0.0
1,16,200,1,4,8,1,0,0.0
0,50,4,2,2,4,32,0,0.0
1,16,4,10,1,20,8,0,0.0
0,5,2,32,4,20,4,0,0.0
0,4,1,32,1,400,2,0,0.0
0,2,32,5,1,320,1,0,0.0
1,80,2,1,10,8,8,0,0.0
1,2,1,64,10,16,5,0,0.0
1,10,2,5,2,32,16,0,0.0
1,1,40,20,2,2,32,0,0.0
1,10,80,1,1,128,1,0,0.0
1,10,8,4,1,160,2,0,0.0
1,100,2,2,256,1,1,0,0.0
1,1,4,160,4,1,40,0,0.0
0,1,100,2,256,2,1,0,0.0
1,2,40,8,4,4,10,0,0.0
1,5,8,4,2,32,10,0,0.0
0,4,25,8,2,4,16,0,0.0
0,10,32,1,2,32,5,0,0.0
0,5,1,128,5,32,1,0,0.0
1,1,16,20,8,2,20,0,0.0
1,2,4,100,2,1,64,0,0.0
1,50,1,16,16,8,1,0,0.0
1,10,4,10,1,16,16,0,0.0
1,1,8,20,160,1,4,0,0.0
1,8,40,1,8,8,5,0,0.0
0,80,2,10,8,8,1,0,0.0
0,4,80,1,16,5,4,0,0.0
1,8,5,20,4,8,4,0,0.0
1,2,8,10,10,32,2,0,0.0
1,10,4,40,1,32,2,0,0.0
1,128,1,25,2,16,1,0,0.0
1,1,16,10,20,4,8,0,0.0
1,8,25,4,32,2,2,0,0.0
0,4,10,16,8,1,20,0,0.0
1,2,1,160,40,1,8,0,0.0
1,32,2,2,2,8,50,0,0.0
1,10,40,4,1,64,1,0,0.0
1,2,4,40,40,8,1,0,0.0
1,32,1,100,4,1,8,0,0.0
1,50,2,1,8,4,32,0,0.0
0,100,1,1,8,32,4,0,0.0
1,10,2,16,64,1,5,0,0.0
1,1,4,800,2,16,1,0,0.0
1,2,5,10,128,1,8,0,0.0
1,1,16,20,20,8,2,0,0.0
1,2,80,4,2,4,20,0,0.0
1,50,2,2,512,1,1,0,0.0
1,4,10,16,4,40,1,0,0.0
1,1,20,8,1,80,8,0,0.0
1,4,32,1,1,20,40,0,0.0
1,20,2,4,1,160,4,0,0.0
1,1,4,40,1,128,5,0,0.0
1,320,5,2,2,4,4,0,0.0
0,200,4,1,2,16,4,0,0.0
1,200,2,4,1,8,8,0,0.0
1,5,1,20,16,2,32,0,0.0
1,4,100,2,4,4,8,0,0.0
1,5,40,4,1,2,64,0,0.0
1,2,1,64,100,2,4,0,0.0
1,20,40,2,1,1,64,0,0.0
1,80,1,2,1,80,8,0,0.0
1,5,32,1,8,8,10,0,0.0
1,4,8,10,4,10,8,0,0.0
1,2,1,400,8,2,8,0,0.0
1,5,4,20,1,16,16,0,0.0
1,1,64,25,64,1,1,0,0.0
1,8,2,10,80,4,2,0,0.0
1,80,5,1,16,2,8,0,0.0
1,640,1,1,2,4,20,0,0.0
1,1,50,8,4,2,32,0,0.0
1,2,10,160,1,1,32,0,0.0
1,32,1,5,1,640,1,0,0.0
1,1,1,800,4,16,2,0,0.0
1,64,1,10,2,8,10,0,0.0
1,2,8,10,2,160,2,0,0.0
0,20,20,1,4,1,64,0,0.0
1,16,2,50,32,1,2,0,0.0
1,1,1,1600,64,1,1,0,0.0
1,2,10,10,64,2,4,0,0.0
1,1,2,320,20,8,1,0,0.0
1,10,1,80,4,8,4,0,0.0
1,4,1,32,2,8,50,0,0.0
0,5,64,2,32,5,1,0,0.0
1,8,40,1,40,4,2,0,0.0
1,2,20,16,4,4,10,0,0.0
1,400,1,1,2,32,4,0,0.0
1,2,1,64,40,1,20,0,0.0
1,2,1,160,2,32,5,0,0.0
0,4,50,1,16,16,2,0,0.0
0,8,25,1,1,64,8,0,0.0
1,8,25,1,16,32,1,0,0.0
1,1,1,640,5,2,16,0,0.0
1,2,5,64,10,1,16,0,0.0
0,5,1,40,16,8,4,0,0.0
0,1,25,4,16,64,1,0,0.0
1,1,4,32,25,32,1,0,0.0
1,40,8,5,1,4,16,0,0.0
1,5,80,4,32,2,1,0,0.0
1,8,20,1,1,160,4,0,0.0
1,2,25,16,16,8,1,0,0.0
1,4,20,8,8,2,10,0,0.0
1,1,100,4,4,1,64,0,0.0
1,4,8,20,10,1,16,0,0.0
1,1,8,25,128,1,4,0,0.0
1,2,4,16,5,20,8,0,0.0
0,40,4,10,4,4,4,0,0.0
