Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
1,1,1,16,32,16,2,0,0.291706
1,2,8,16,2,4,8,0,0.504349
1,1,64,1,1,32,8,0,0.34089
1,8,1,16,2,8,8,0,0.341755
1,2,4,32,2,32,1,0,0.504385
1,4,2,2,2,8,64,0,0.291662
1,2,8,1,32,2,16,0,0.291363
1,4,4,8,8,1,16,0,0.341529
1,16,1,2,16,2,16,0,0.327032
1,1,32,2,32,8,1,0,0.341165
0,2,2,16,8,32,1,0,0.34583
1,4,1,4,2,16,32,0,0.291828
1,4,4,4,8,32,1,0,0.341167
1,4,8,2,1,8,32,0,0.341184
1,1,2,8,8,64,2,0,0.291577
1,1,16,8,64,1,2,0,0.341907
1,4,4,2,32,16,1,0,0.326921
1,8,4,8,4,1,16,0,0.504193
1,4,32,1,8,2,8,0,0.341901
1,8,1,32,4,8,2,0,0.504279
1,8,2,2,4,64,2,0,0.326865
1,16,4,4,2,1,32,0,0.504071
1,8,64,1,4,4,2,0,0.766039
1,32,2,8,8,2,2,0,0.76954
1,2,1,16,512,1,1,0,0.326799
1,16,1,2,8,64,1,0,0.327073
1,4,64,1,1,32,2,0,0.605505
1,1,4,8,256,1,2,0,0.326849
1,64,1,1,1,64,4,0,0.341172
0,1,2,128,8,1,8,0,0.579384
1,32,4,1,4,2,16,0,0.341503
1,16,1,4,128,2,1,0,0.341303
1,32,4,1,2,1,64,0,0.341826
1,2,4,32,1,2,32,0,0.504219
1,16,8,1,1,64,2,0,0.352728
1,1,1,64,16,2,8,0,0.340885
1,32,1,16,1,8,4,0,0.763706
1,4,16,2,4,1,32,0,0.341579
1,2,32,1,8,16,2,0,0.340705
1,2,16,4,32,1,4,0,0.34154
0,4,8,1,1,128,4,0,0.358125
1,1,1,32,8,64,1,0,0.326432
0,4,4,4,16,1,16,0,0.345554
1,1,2,64,8,2,8,0,0.341609
1,2,8,2,1,128,4,0,0.327033
1,1,4,32,32,2,2,0,0.341548
1,16,1,1,4,64,4,0,0.291429
1,2,16,1,64,4,2,0,0.326545
1,256,2,1,4,4,2,0,0.769455
1,8,4,2,1,128,2,0,0.341374
1,16,1,2,64,1,8,0,0.326578
0,2,8,4,64,1,4,0,0.345768
1,32,2,8,8,4,1,0,0.769519
1,4,2,8,1,8,32,0,0.341134
1,32,1,1,64,8,1,0,0.326792
1,1,4,64,2,16,2,0,0.50426
1,2,2,128,16,1,2,0,0.763532
1,4,8,1,4,128,1,0,0.326866
1,4,2,64,32,1,1,0,0.768788
1,8,64,1,1,1,32,0,0.76613
1,1,32,1,64,2,4,0,0.32705
1,4,8,1,16,2,16,0,0.326738
1,4,16,4,8,2,4,0,0.504194
0,4,8,1,2,4,64,0,0.343499
0,1,8,2,4,8,32,0,0.346938
1,1,1,256,1,64,1,0,0.504149
1,2,32,4,32,2,1,0,0.504446
0,64,2,2,1,32,2,0,0.576433
1,4,16,1,64,1,4,0,0.340778
1,4,64,1,8,2,4,0,0.504059
1,8,16,1,32,2,2,0,0.341065
1,1,8,64,4,4,2,0,0.769444
1,8,2,2,4,128,1,0,0.32692
0,128,1,4,2,1,16,0,0.776723
0,2,2,32,8,4,4,0,0.348932
1,4,1,4,16,4,16,0,0.291559
1,32,4,2,2,32,1,0,0.50427
