kernel,gx,gy,gz,bx,by,bz,funcId,smefficiency 
1,10,8,40,32,1,1,60,97.46 
0,10,10,32,32,1,1,60,71.14
1,10,10,32,32,1,1,60,97.1 
0,10,16,20,32,1,1,60,71.17
1,10,16,20,32,1,1,60,97.44 
0,10,20,16,32,1,1,60,71.2
1,10,20,16,32,1,1,60,97.55 
0,10,32,10,32,1,1,60,69.39
1,10,32,10,32,1,1,60,97.67 
0,10,40,8,32,1,1,60,70.55
1,10,40,8,32,1,1,60,97.12 
0,10,64,5,32,1,1,60,48.2
1,10,64,5,32,1,1,60,97.47 
0,10,80,4,32,1,1,60,70.64
1,10,80,4,32,1,1,60,97.52 
0,10,160,2,32,1,1,60,70.74
1,10,160,2,32,1,1,60,97.8 
0,10,320,1,32,1,1,52,70.41
1,10,320,1,32,1,1,52,97.41 
0,16,1,200,32,1,1,44,71.2
1,16,1,200,32,1,1,44,97.41 
0,16,2,100,32,1,1,60,67.78
1,16,2,100,32,1,1,60,97.74 
0,16,4,50,32,1,1,60,45.9
1,16,4,50,32,1,1,60,97.44 
0,16,5,40,32,1,1,60,70.78
1,16,5,40,32,1,1,60,98.1 
0,16,8,25,32,1,1,60,70.96
1,16,8,25,32,1,1,60,97.95 
0,16,10,20,32,1,1,60,70.7
1,16,10,20,32,1,1,60,97.82 
0,16,20,10,32,1,1,60,71.43
1,16,20,10,32,1,1,60,97.52 
0,16,25,8,32,1,1,60,70.1
1,16,25,8,32,1,1,60,97.6 
0,16,40,5,32,1,1,60,70.55
1,16,40,5,32,1,1,60,97.58 
0,16,50,4,32,1,1,60,71.24
1,16,50,4,32,1,1,60,97.26 
0,16,100,2,32,1,1,60,69.7
1,16,100,2,32,1,1,60,98.17 
0,16,200,1,32,1,1,52,70.29
1,16,200,1,32,1,1,52,97.52 
0,20,1,160,32,1,1,44,70.98
1,20,1,160,32,1,1,44,97.84 
0,20,2,80,32,1,1,60,70.09
1,20,2,80,32,1,1,60,96.77 
0,20,4,40,32,1,1,60,71.14
1,20,4,40,32,1,1,60,98.75 
0,20,5,32,32,1,1,60,70.19
1,20,5,32,32,1,1,60,98.14 
0,20,8,20,32,1,1,60,70.65
1,20,8,20,32,1,1,60,97.35 
0,20,10,16,32,1,1,60,68.9
1,20,10,16,32,1,1,60,97.51 
0,20,16,10,32,1,1,60,70.52
1,20,16,10,32,1,1,60,98.17 
0,20,20,8,32,1,1,60,71.24
1,20,20,8,32,1,1,60,97.54 
0,20,32,5,32,1,1,60,71.05
1,20,32,5,32,1,1,60,97.93 
0,20,40,4,32,1,1,60,71.25
1,20,40,4,32,1,1,60,97.1 
0,20,80,2,32,1,1,60,70.36
1,20,80,2,32,1,1,60,97.71 
0,20,160,1,32,1,1,52,70.64
1,20,160,1,32,1,1,52,97.44 
0,25,1,128,32,1,1,44,68.81
1,25,1,128,32,1,1,44,98.19 
0,25,2,64,32,1,1,60,70.27
1,25,2,64,32,1,1,60,97.44 
0,25,4,32,32,1,1,60,71.26
1,25,4,32,32,1,1,60,97.47 
0,25,8,16,32,1,1,60,71.61
1,25,8,16,32,1,1,60,97.44 
0,25,16,8,32,1,1,60,71.37
1,25,16,8,32,1,1,60,97.26 
0,25,32,4,32,1,1,60,71.12
1,25,32,4,32,1,1,60,97.23 
0,25,64,2,32,1,1,60,71.24
1,25,64,2,32,1,1,60,97.85 
0,25,128,1,32,1,1,52,69.66
1,25,128,1,32,1,1,52,96.63 
0,32,1,100,32,1,1,44,71.21
1,32,1,100,32,1,1,44,97.52 
0,32,2,50,32,1,1,60,68.89
1,32,2,50,32,1,1,60,97.33 
0,32,4,25,32,1,1,60,69.65
1,32,4,25,32,1,1,60,97.16 
0,32,5,20,32,1,1,60,71.75
1,32,5,20,32,1,1,60,97.8 
0,32,10,10,32,1,1,60,70.7
1,32,10,10,32,1,1,60,98.5 
0,32,20,5,32,1,1,60,71.01
1,32,20,5,32,1,1,60,97.28 
0,32,25,4,32,1,1,60,69.56
1,32,25,4,32,1,1,60,97.9 
0,32,50,2,32,1,1,60,71.34
1,32,50,2,32,1,1,60,97.98 
0,32,100,1,32,1,1,52,70.64
1,32,100,1,32,1,1,52,97.91 
0,40,1,80,32,1,1,44,71.27
1,40,1,80,32,1,1,44,97.53 
0,40,2,40,32,1,1,60,70.64
1,40,2,40,32,1,1,60,98.2 
0,40,4,20,32,1,1,60,70.7
1,40,4,20,32,1,1,60,97.63 
0,40,5,16,32,1,1,60,70.66
1,40,5,16,32,1,1,60,97.43 
0,40,8,10,32,1,1,60,71.57
1,40,8,10,32,1,1,60,97.56 
0,40,10,8,32,1,1,60,70.68
1,40,10,8,32,1,1,60,97.62 
0,40,16,5,32,1,1,60,70.71
1,40,16,5,32,1,1,60,97.19 
0,40,20,4,32,1,1,60,69.84
1,40,20,4,32,1,1,60,96.93 
0,40,40,2,32,1,1,60,71.21
1,40,40,2,32,1,1,60,97.91 
0,40,80,1,32,1,1,52,71.17
1,40,80,1,32,1,1,52,96.92 
0,50,1,64,32,1,1,44,71.91
1,50,1,64,32,1,1,44,97.35 
0,50,2,32,32,1,1,60,70.28
1,50,2,32,32,1,1,60,97.66 
0,50,4,16,32,1,1,60,70.15
1,50,4,16,32,1,1,60,97.67 
0,50,8,8,32,1,1,60,70.97
1,50,8,8,32,1,1,60,97.61 
0,50,16,4,32,1,1,60,69.09
1,50,16,4,32,1,1,60,97.64 
0,50,32,2,32,1,1,60,71.2
1,50,32,2,32,1,1,60,96.59 
0,50,64,1,32,1,1,52,71.07
1,50,64,1,32,1,1,52,97.31 
0,64,1,50,32,1,1,44,71.95
1,64,1,50,32,1,1,44,98.11 
0,64,2,25,32,1,1,60,70.76
1,64,2,25,32,1,1,60,97.48 
0,64,5,10,32,1,1,60,70.47
1,64,5,10,32,1,1,60,97.58 
0,64,10,5,32,1,1,60,70.57
1,64,10,5,32,1,1,60,98.22 
0,64,25,2,32,1,1,60,69.16
1,64,25,2,32,1,1,60,97.41 
0,64,50,1,32,1,1,52,70.94
1,64,50,1,32,1,1,52,97.34 
0,80,1,40,32,1,1,44,68.7
1,80,1,40,32,1,1,44,98.1 
0,80,2,20,32,1,1,60,70.48
1,80,2,20,32,1,1,60,97.72 
