gx,gy,gz,bx,by,bz,funcId,smefficiency 
1,32,32,256,1,1,28,11.16 
1,64,16,256,1,1,28,11.16 
1,128,8,256,1,1,28,11.17 
1,256,4,256,1,1,28,11.18 
1,512,2,256,1,1,28,11.17 
1,1024,1,256,1,1,20,11.11 
2,1,512,256,1,1,44,11.14 
2,2,256,256,1,1,60,11.16 
2,4,128,256,1,1,60,11.18 
2,8,64,256,1,1,60,11.18 
2,16,32,256,1,1,60,11.2 
2,32,16,256,1,1,60,11.17 
2,64,8,256,1,1,60,11.16 
2,128,4,256,1,1,60,11.15 
2,256,2,256,1,1,60,11.16 
2,512,1,256,1,1,52,11.09 
4,1,256,256,1,1,44,11.17 
4,2,128,256,1,1,60,11.16 
4,4,64,256,1,1,60,11.16 
4,8,32,256,1,1,60,11.18 
4,16,16,256,1,1,60,11.18 
4,32,8,256,1,1,60,11.16 
4,64,4,256,1,1,60,11.16 
4,128,2,256,1,1,60,11.2 
4,256,1,256,1,1,52,11.18 
8,1,128,256,1,1,44,11.17 
8,2,64,256,1,1,60,11.2 
8,4,32,256,1,1,60,11.18 
8,8,16,256,1,1,60,11.18 
8,16,8,256,1,1,60,11.2 
8,32,4,256,1,1,60,11.17 
8,64,2,256,1,1,60,11.17 
8,128,1,256,1,1,52,11.13 
16,1,64,256,1,1,44,11.16 
16,2,32,256,1,1,60,11.19 
16,4,16,256,1,1,60,11.15 
16,8,8,256,1,1,60,11.11 
16,16,4,256,1,1,60,11.18 
16,32,2,256,1,1,60,11.17 
16,64,1,256,1,1,52,11.18 
32,1,32,256,1,1,44,11.12 
32,2,16,256,1,1,60,11.17 
32,4,8,256,1,1,60,11.16 
32,8,4,256,1,1,60,11.18 
32,16,2,256,1,1,60,11.19 
32,32,1,256,1,1,52,11.18 
64,1,16,256,1,1,44,11.15 
64,2,8,256,1,1,60,11.18 
64,4,4,256,1,1,60,11.19 
64,8,2,256,1,1,60,11.17 
64,16,1,256,1,1,52,11.17 
128,1,8,256,1,1,44,11.18 
128,2,4,256,1,1,60,11.2 
128,4,2,256,1,1,60,11.21 
128,8,1,256,1,1,52,11.18 
256,1,4,256,1,1,44,11.09 
256,2,2,256,1,1,60,11.17 
256,4,1,256,1,1,52,11.15 
512,1,2,256,1,1,44,11.17 
