gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,1,64,16,4,1,0,10.3 
1,2,32,16,4,1,0,9.5 
1,4,16,16,4,1,0,9.49 
1,8,8,16,4,1,0,9.48 
1,16,4,16,4,1,0,9.43 
1,32,2,16,4,1,0,9.43 
1,64,1,16,4,1,0,9.46 
2,1,32,16,4,1,0,9.6 
2,2,16,16,4,1,0,9.72 
2,4,8,16,4,1,0,9.7 
2,8,4,16,4,1,0,9.7 
2,16,2,16,4,1,0,9.65 
2,32,1,16,4,1,0,9.56 
4,1,16,16,4,1,0,9.44 
4,2,8,16,4,1,0,9.7 
4,4,4,16,4,1,0,9.68 
4,8,2,16,4,1,0,9.71 
4,16,1,16,4,1,0,9.6 
8,1,8,16,4,1,0,9.5 
8,2,4,16,4,1,0,9.67 
8,4,2,16,4,1,0,9.66 
8,8,1,16,4,1,0,9.59 
16,1,4,16,4,1,0,9.5 
16,2,2,16,4,1,0,9.72 
16,4,1,16,4,1,0,10.44 
32,1,2,16,4,1,0,9.93 
32,2,1,16,4,1,0,9.57 
64,1,1,16,4,1,0,9.46 
1,1,32,32,4,1,0,9.53 
1,2,16,32,4,1,0,9.54 
1,4,8,32,4,1,0,9.43 
1,8,4,32,4,1,0,9.46 
1,16,2,32,4,1,0,9.49 
1,32,1,32,4,1,0,9.42 
2,1,16,32,4,1,0,9.48 
2,2,8,32,4,1,0,9.72 
2,4,4,32,4,1,0,9.71 
2,8,2,32,4,1,0,10.07 
2,16,1,32,4,1,0,9.56 
4,1,8,32,4,1,0,9.56 
4,2,4,32,4,1,0,9.7 
4,4,2,32,4,1,0,9.72 
4,8,1,32,4,1,0,9.54 
8,1,4,32,4,1,0,9.49 
8,2,2,32,4,1,0,9.67 
8,4,1,32,4,1,0,9.6 
16,1,2,32,4,1,0,9.5 
16,2,1,32,4,1,0,9.56 
32,1,1,32,4,1,0,9.4 
1,1,16,64,4,1,0,6.8 
1,2,8,64,4,1,0,6.73 
1,4,4,64,4,1,0,6.73 
1,8,2,64,4,1,0,6.71 
1,16,1,64,4,1,0,6.76 
2,1,8,64,4,1,0,6.76 
2,2,4,64,4,1,0,6.83 
2,4,2,64,4,1,0,6.86 
2,8,1,64,4,1,0,6.81 
4,1,4,64,4,1,0,6.77 
4,2,2,64,4,1,0,6.83 
4,4,1,64,4,1,0,6.81 
8,1,2,64,4,1,0,6.77 
8,2,1,64,4,1,0,6.75 
16,1,1,64,4,1,0,6.75 
1,1,8,128,4,1,0,4.9 
1,2,4,128,4,1,0,4.86 
1,4,2,128,4,1,0,4.86 
1,8,1,128,4,1,0,4.88 
2,1,4,128,4,1,0,5.0 
2,2,2,128,4,1,0,4.93 
2,4,1,128,4,1,0,4.88 
4,1,2,128,4,1,0,4.89 
4,2,1,128,4,1,0,4.91 
8,1,1,128,4,1,0,4.85 
1,1,4,256,4,1,0,3.92 
1,2,2,256,4,1,0,3.9 
1,4,1,256,4,1,0,3.92 
2,1,2,256,4,1,0,3.93 
2,2,1,256,4,1,0,3.94 
4,1,1,256,4,1,0,3.89 
1,1,128,4,8,1,0,13.54 
1,2,64,4,8,1,0,13.44 
1,4,32,4,8,1,0,13.43 
1,8,16,4,8,1,0,13.47 
1,16,8,4,8,1,0,13.56 
1,32,4,4,8,1,0,13.46 
1,64,2,4,8,1,0,13.45 
1,128,1,4,8,1,0,13.42 
2,1,64,4,8,1,0,13.92 
2,2,32,4,8,1,0,13.7 
2,4,16,4,8,1,0,13.66 
