Kernel,gx,gy,gz,bx,by,bz,gpuId,efficiency-warp-execution 
 1, 1,  4,  3,  192,  4,  1, 1,100.0 
 0, 9,  4,  8,  4,  4,  2, 1,100.0 
 1, 3,  1,  16,  2,  3,  32, 1,100.0 
 0, 1,  1,  48,  1,  96,  2, 0,100.0 
 0, 2,  12,  4,  6,  4,  4, 0,100.0 
 0, 4,  2,  4,  4,  9,  8, 0,100.0 
 1, 8,  1,  2,  3,  8,  24, 1,100.0 
 0, 8,  4,  1,  72,  2,  2, 0,100.0 
 1, 3,  6,  2,  8,  32,  1, 1,100.0 
 1, 8,  3,  4,  1,  96,  1, 1,100.0 
 1, 24,  12,  1,  8,  1,  4, 0,100.0 
 1, 1,  8,  6,  16,  12,  1, 1,100.0 
 0, 4,  3,  6,  8,  8,  2, 0,100.0 
 0, 12,  1,  1,  8,  48,  2, 0,100.0 
 0, 12,  1,  8,  96,  1,  1, 0,100.0 
 1, 16,  3,  1,  2,  2,  48, 1,100.0 
 1, 1,  1,  16,  1,  18,  32, 1,100.0 
 0, 2,  1,  12,  6,  8,  8, 1,100.0 
 1, 6,  3,  1,  2,  16,  16, 1,100.0 
 0, 8,  6,  1,  6,  16,  2, 0,100.0 
 1, 2,  8,  3,  3,  1,  64, 1,100.0 
 0, 1,  3,  3,  4,  8,  32, 0,100.0 
 0, 3,  1,  96,  2,  16,  1, 0,100.0 
 0, 8,  4,  3,  48,  2,  1, 0,100.0 
 1, 4,  3,  24,  8,  1,  4, 1,100.0 
 0, 72,  1,  4,  8,  4,  1, 0,100.0 
 0, 8,  1,  3,  32,  2,  6, 0,100.0 
 1, 6,  2,  4,  1,  96,  2, 1,100.0 
 0, 16,  1,  3,  6,  4,  8, 0,100.0 
 1, 2,  3,  3,  8,  8,  8, 1,100.0 
 0, 6,  16,  1,  8,  1,  12, 0,100.0 
 0, 1,  9,  1,  1,  16,  64, 0,100.0 
 0, 2,  9,  2,  16,  4,  4, 0,100.0 
 1, 16,  1,  3,  1,  64,  3, 1,100.0 
 0, 6,  2,  1,  128,  1,  6, 0,100.0 
 0, 1,  8,  6,  96,  1,  2, 1,100.0 
 1, 9,  2,  1,  8,  8,  8, 1,100.0 
 0, 1,  9,  1,  2,  32,  16, 1,100.0 
 1, 1,  24,  6,  2,  32,  1, 1,100.0 
 0, 1,  6,  16,  1,  16,  6, 0,100.0 
 0, 1,  72,  1,  2,  2,  32, 0,100.0 
 0, 1,  8,  3,  48,  4,  2, 0,100.0 
 1, 18,  16,  1,  16,  1,  2, 1,100.0 
 1, 1,  32,  1,  24,  12,  1, 1,100.0 
 0, 12,  24,  1,  4,  1,  8, 0,100.0 
 1, 6,  8,  1,  12,  4,  4, 1,100.0 
 0, 4,  1,  8,  2,  9,  16, 1,100.0 
 1, 12,  24,  1,  32,  1,  1, 1,100.0 
 0, 3,  8,  3,  32,  2,  2, 0,100.0 
 0, 4,  1,  6,  6,  2,  32, 0,100.0 
 0, 6,  6,  4,  64,  1,  1, 0,100.0 
 1, 3,  1,  48,  4,  8,  2, 1,100.0 
 0, 8,  18,  1,  4,  16,  1, 0,100.0 
 0, 3,  1,  8,  8,  4,  12, 0,100.0 
 0, 12,  1,  8,  16,  1,  6, 0,100.0 
 1, 2,  18,  2,  2,  32,  2, 1,100.0 
 0, 6,  1,  12,  1,  128,  1, 1,100.0 
 1, 48,  1,  1,  2,  32,  3, 1,100.0 
 0, 9,  2,  4,  8,  1,  16, 0,100.0 
 1, 32,  9,  1,  8,  2,  2, 1,100.0 
 0, 1,  2,  8,  2,  9,  32, 0,100.0 
 0, 1,  32,  1,  6,  12,  4, 0,100.0 
 0, 2,  8,  6,  6,  1,  16, 0,100.0 
 1, 3,  3,  8,  4,  16,  2, 1,100.0 
 0, 16,  2,  3,  8,  12,  1, 0,100.0 
 1, 1,  2,  72,  32,  2,  1, 1,100.0 
 0, 2,  3,  4,  2,  64,  3, 1,100.0 
 1, 2,  4,  2,  288,  2,  1, 1,100.0 
 1, 12,  2,  2,  16,  2,  6, 1,100.0 
 0, 2,  9,  2,  4,  1,  64, 0,100.0 
 0, 2,  6,  24,  4,  4,  2, 0,100.0 
 0, 4,  2,  9,  32,  1,  4, 0,100.0 
 1, 4,  4,  1,  6,  4,  24, 1,100.0 
 0, 3,  1,  24,  1,  32,  4, 0,100.0 
 1, 2,  18,  8,  8,  2,  2, 1,100.0 
 0, 12,  2,  6,  1,  16,  4, 0,100.0 
 1, 2,  8,  6,  24,  2,  2, 1,100.0 
 1, 1,  4,  4,  2,  9,  32, 1,100.0 
 0, 6,  1,  2,  384,  1,  2, 0,100.0 
 0, 2,  2,  8,  18,  4,  4, 0,100.0 
 1, 1,  2,  12,  8,  6,  8, 1,100.0 
 0, 8,  1,  2,  48,  1,  12, 0,100.0 
 0, 32,  3,  1,  4,  2,  12, 0,100.0 
 0, 3,  8,  4,  1,  96,  1, 0,100.0 
 1, 2,  16,  9,  8,  4,  1, 1,100.0 
 1, 16,  6,  1,  3,  1,  32, 1,100.0 
 0, 1,  18,  4,  8,  16,  1, 0,100.0 
 0, 24,  6,  2,  2,  8,  2, 0,100.0 
 0, 1,  8,  6,  16,  12,  1, 0,100.0 
 1, 8,  1,  9,  32,  2,  2, 1,100.0 
 1, 2,  4,  6,  24,  4,  2, 0,100.0 
 0, 4,  9,  1,  32,  4,  2, 0,100.0 
 1, 2,  4,  4,  4,  4,  18, 1,100.0 
 1, 8,  6,  1,  8,  1,  24, 0,100.0 
 1, 1,  2,  6,  4,  48,  4, 1,100.0 
 0, 32,  1,  1,  12,  2,  12, 0,100.0 
 0, 1,  16,  2,  4,  9,  8, 0,100.0 
 0, 6,  2,  24,  8,  2,  2, 0,100.0 
 1, 1,  2,  6,  48,  16,  1, 1,100.0 
 0, 1,  3,  8,  24,  4,  4, 1,100.0 
 0, 12,  2,  3,  4,  8,  4, 1,100.0 
 0, 1,  2,  16,  3,  4,  24, 0,100.0 
 1, 48,  2,  1,  4,  1,  24, 1,100.0 
 1, 1,  12,  2,  1,  6,  64, 0,100.0 
 1, 3,  4,  6,  64,  1,  2, 1,100.0 
 0, 12,  1,  3,  8,  32,  1, 0,100.0 
 0, 2,  2,  8,  16,  2,  9, 0,100.0 
 0, 8,  4,  1,  12,  6,  4, 0,100.0 
 1, 48,  1,  1,  8,  4,  6, 1,100.0 
 0, 9,  4,  2,  4,  32,  1, 0,100.0 
 0, 9,  1,  32,  8,  2,  2, 1,100.0 
 1, 8,  2,  6,  2,  1,  48, 1,100.0 
 0, 2,  2,  12,  4,  2,  24, 1,100.0 
 1, 6,  6,  2,  16,  8,  1, 0,100.0 
 1, 16,  2,  1,  12,  24,  1, 1,100.0 
 1, 8,  2,  3,  16,  2,  6, 1,100.0 
 0, 6,  1,  4,  48,  1,  8, 0,100.0 
