Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency
0,2,16,1,16,32,1,1,60.74
0,1,4,16,1,64,4,1,60.89
0,256,2,1,32,1,1,1,63.0
1,1,1,16,1,512,2,1,89.93
0,1,128,1,16,8,1,1,58.79
0,4,8,4,1,64,2,1,60.61
1,2,2,16,1,64,4,1,97.51
0,1,16,4,2,8,16,1,62.39
1,4,4,8,16,1,8,1,97.82
0,2,16,2,32,2,4,1,61.37
0,8,1,2,2,512,1,1,61.1
0,2,2,8,32,4,4,1,61.53
0,16,16,2,1,16,2,1,63.25
0,16,2,1,4,8,16,1,61.63
1,1,32,8,8,2,4,1,99.73
1,2,32,8,1,1,32,1,95.24
1,32,1,8,2,32,1,1,99.72
1,32,2,1,128,2,1,1,97.5
1,8,8,8,2,8,2,1,95.18
0,32,1,2,4,4,16,1,59.62
1,16,2,8,2,1,32,1,99.7
0,8,2,8,8,8,2,1,60.49
1,2,1,256,2,4,4,1,95.14
0,4,1,4,128,4,2,1,60.41
0,4,2,32,2,2,16,1,60.76
0,2,16,8,4,4,4,1,60.19
1,8,1,2,64,2,8,1,89.83
0,32,1,1,512,1,1,1,60.4
0,4,16,1,4,2,32,1,60.39
1,4,1,16,8,8,4,1,97.45
0,2,1,64,8,2,8,1,59.45
0,1,16,1,1024,1,1,1,59.63
0,8,1,16,64,1,2,1,60.75
0,32,4,1,1,64,2,1,57.9
0,2,64,2,4,1,16,1,59.89
1,32,4,1,8,16,1,1,97.85
1,1,2,16,64,2,4,1,94.93
1,8,2,4,64,2,2,1,97.47
0,1,2,16,256,2,1,1,61.29
0,2,32,8,8,2,2,1,63.31
1,1,4,8,2,256,1,1,94.79
0,1,1,16,8,2,64,1,57.68
1,32,16,1,4,8,1,1,95.27
0,1,32,2,64,1,4,1,60.77
0,4,64,1,16,2,2,1,59.06
0,16,4,4,8,2,4,1,59.67
0,16,2,1,8,64,1,1,60.26
1,4,2,16,1,128,1,1,97.77
1,2,32,4,2,2,16,1,99.71
1,32,1,4,8,4,4,1,97.71
1,1,1,64,8,2,16,1,97.53
0,16,1,2,16,16,2,1,61.43
0,8,1,8,1,4,64,1,60.61
1,8,2,4,2,32,4,1,97.43
1,1,16,16,8,1,8,1,99.73
1,128,2,2,1,8,4,1,95.04
0,4,8,4,4,1,32,1,60.15
0,2,128,1,1,8,8,1,57.73
0,32,1,8,1,4,16,1,59.17
1,8,32,2,2,16,1,1,95.41
0,4,1,16,2,64,2,1,61.13
0,4,1,4,64,2,8,1,60.91
0,1,32,16,1,8,4,1,63.23
0,4,1,4,8,16,8,1,60.19
1,2,64,4,2,16,1,1,95.09
1,16,16,2,2,4,4,1,95.13
