Kernel,gx,gy,gz,bx,by,bz,gpuId,gld_efficiency
1,242,1,1,128,1,4,0,12.5
1,11,2,11,2,4,64,0,12.5
1,2,22,4,8,22,4,0,12.5
1,1,11,16,4,11,16,0,12.5
1,11,2,8,176,1,4,0,12.5
1,22,4,4,32,11,1,0,12.5
1,11,2,16,4,4,22,0,12.5
1,1,88,2,1,176,4,0,12.5
1,11,44,4,4,8,2,0,12.5
0,8,1,121,4,32,1,0,90.28
1,484,1,1,64,4,1,0,12.5
1,1,2,1936,1,1,32,0,12.5
1,44,1,22,8,4,4,0,12.5
1,121,2,1,8,16,4,0,12.5
1,88,1,22,2,4,8,0,12.5
1,8,242,1,2,32,1,0,12.5
1,4,4,22,22,1,16,0,12.5
1,8,2,121,16,2,2,0,12.5
1,121,2,1,64,8,1,0,12.5
1,22,22,2,4,4,8,0,12.5
1,2,22,8,2,16,11,0,12.5
1,2,22,4,88,2,4,0,12.5
1,4,2,22,1,32,22,0,12.5
1,968,4,1,1,2,16,0,12.5
1,11,11,2,1,256,2,0,12.5
1,2,176,1,22,16,1,0,12.5
1,1,11,32,22,8,2,0,12.5
1,16,11,11,4,16,1,0,12.5
1,2,11,44,8,4,4,0,12.5
1,1,32,11,2,16,11,0,12.5
1,1,22,8,11,16,4,0,12.5
1,22,2,22,1,2,64,0,12.5
1,1,4,44,8,44,2,0,12.5
1,22,8,22,1,1,32,0,12.5
0,22,8,1,16,4,11,0,90.28
0,16,11,22,2,4,4,0,90.28
0,8,11,4,176,1,2,0,90.28
1,44,1,11,32,2,4,0,12.5
1,16,11,1,1,44,16,0,12.5
1,2,44,4,22,2,8,0,12.5
1,1,1,352,8,44,1,0,12.5
1,121,8,2,8,1,8,0,12.5
1,121,2,2,64,1,4,0,12.48
1,22,8,1,44,8,2,0,12.5
0,11,1,32,44,2,4,0,90.28
1,121,4,8,8,1,4,0,12.5
1,4,11,8,8,2,22,0,12.5
0,1,4,121,32,8,1,0,90.28
1,2,2,88,8,1,44,0,12.5
1,8,11,2,2,176,2,0,12.5
1,8,22,1,1,88,8,0,12.5
1,16,11,11,2,8,4,0,12.5
1,121,32,1,1,4,8,0,12.5
1,4,2,44,2,22,8,0,12.5
1,11,2,16,44,1,8,0,12.5
1,22,1,8,44,16,1,0,12.5
1,1,8,44,1,32,11,0,12.5
0,1,1,352,11,4,8,0,90.28
1,242,1,8,16,4,1,0,12.5
1,1,121,2,2,128,2,0,12.5
0,121,2,2,64,1,4,0,90.28
1,4,22,11,8,1,16,0,12.5
1,2,22,4,1,352,2,0,12.5
1,121,1,2,2,4,64,0,12.5
1,1,121,8,4,16,2,0,12.5
1,2,22,11,2,16,8,0,12.5
1,2,11,44,64,1,2,0,12.5
1,2,22,44,2,8,4,0,12.5
1,1,1,242,256,1,2,0,12.5
1,16,242,1,8,2,2,0,12.5
1,2,1,1936,1,32,1,0,12.5
1,44,1,4,1,44,16,0,12.5
1,1,176,1,1,176,4,0,12.5
1,44,1,88,1,16,2,0,12.5
1,2,1,484,4,16,2,0,12.5
1,11,22,8,1,64,1,0,12.5
1,44,2,2,2,16,22,0,12.5
1,22,22,1,2,128,1,0,12.5
1,1,484,8,4,2,4,0,12.5
1,4,4,121,1,64,1,0,12.5
1,11,2,22,8,2,16,0,12.5
1,44,44,1,8,1,8,0,12.5
1,2,2,121,32,4,2,0,12.5
1,44,4,2,1,32,11,0,12.5
1,1,2,484,4,1,32,0,12.5
1,44,11,2,4,4,8,0,12.5
1,242,1,4,1,128,1,0,12.5
0,4,11,88,4,2,4,0,90.28
1,2,11,11,128,2,2,0,12.5
