Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
1,1,1,256,2,8,16,0,0.047563
1,8,1,8,1,512,2,0,0.047253
1,8,2,64,2,2,16,0,0.046113
1,1,16,32,16,8,1,0,0.046352
1,2,32,1,1024,1,1,0,0.046814
1,32,16,1,4,8,4,0,0.046723
1,2,16,16,32,2,2,0,0.046302
1,4,32,2,8,32,1,0,0.047861
1,2,1,64,2,16,16,0,0.047132
1,32,4,4,4,1,32,0,0.046791
1,1,16,64,2,1,32,0,0.046708
1,64,2,2,8,4,8,0,0.046746
1,4,64,4,8,8,1,0,0.046102
1,1,2048,1,4,4,2,0,0.048302
0,4,32,2,16,2,8,0,0.898958
1,2,8,16,4,8,8,0,0.046616
1,32,2,16,8,4,2,0,0.046096
1,128,2,1,1,64,4,0,0.092239
1,16,8,4,8,8,2,0,0.046206
1,2,256,4,2,8,2,0,0.04814
1,128,1,16,4,1,8,0,0.047251
1,2,128,2,4,2,16,0,0.045913
1,64,1,1,1,16,64,0,0.047104
1,1,256,4,1,32,2,0,0.046023
1,16,1,32,128,1,1,0,0.046533
1,4,64,1,16,8,2,0,0.0474
1,16,1,4,4,32,8,0,0.047537
1,1,512,1,2,2,32,0,0.045439
1,16,2,16,16,1,8,0,0.04751
1,4,32,8,1,16,4,0,0.045591
1,1,1,256,64,2,2,0,0.046719
1,2,128,2,4,32,1,0,0.046645
1,1,128,8,2,16,2,0,0.0456
1,4,32,1,256,1,2,0,0.046452
1,1,1,64,256,2,2,0,0.047306
1,4,8,8,1,32,8,0,0.046478
0,32,2,1,16,8,8,0,1.067083
0,2,4,16,16,1,32,0,0.899662
1,128,1,1,2,256,1,0,0.046692
1,64,1,1,16,64,1,0,0.047739
1,4,512,1,2,8,2,0,0.047652
1,2,128,2,4,1,32,0,0.046034
1,1,128,1,16,1,32,0,0.046662
1,2,8,64,2,4,8,0,0.046379
1,2,2,256,2,32,1,0,0.046826
1,16,32,4,4,8,1,0,0.047571
1,1,32,4,8,64,1,0,0.047908
1,4,8,16,2,1,64,0,0.046914
1,4,8,4,128,2,2,0,0.047214
1,64,8,4,4,4,2,0,0.047644
1,16,4,1,8,128,1,0,0.046824
1,512,2,1,2,8,4,0,0.046601
1,4,8,32,4,2,8,0,0.046393
1,4,2,16,4,4,32,0,0.047206
1,16,2,2,2,512,1,0,0.047696
1,2,128,4,4,4,4,0,0.047046
1,128,2,2,2,16,4,0,0.046382
1,64,1,4,1,8,32,0,0.046022
1,32,2,4,4,64,1,0,0.047069
1,2,8,8,2,256,1,0,0.047495
1,4,1,32,2,64,4,0,0.047489
1,4,16,32,1,16,2,0,0.048382
