Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp
0,2,64,2,64,4,1,0,100.0
0,2,1,32,256,1,4,0,96.0
0,64,1,16,4,8,2,0,104.0
0,32,16,2,2,16,2,0,104.0
1,8,2,128,8,4,1,0,18215.0
1,64,1,32,1,8,4,0,18211.0
1,8,8,1,16,32,2,0,18219.0
1,4,32,1,8,8,8,0,18219.0
0,8,2,4,128,4,2,0,104.0
0,4,32,16,16,1,2,0,100.0
1,4,8,2,4,8,32,0,18219.0
0,1,4,64,2,2,64,0,104.0
0,4,8,16,1,4,32,0,100.0
0,1,2,128,8,1,32,0,96.0
0,8,2,32,1,64,2,0,100.0
0,4,16,8,1,2,64,0,100.0
0,2,8,8,2,16,16,0,104.0
0,2,32,1,4,8,32,0,104.0
0,1,4,32,64,2,4,0,104.0
1,4,64,1,4,2,32,0,18219.0
0,8,1,128,1,64,1,0,92.0
0,64,2,1,64,2,4,0,104.0
0,2,256,1,1,4,32,0,99.0
1,8,1,16,1,32,16,0,18211.0
1,16,1,32,16,4,2,0,18219.0
1,16,32,1,8,16,1,0,18211.0
0,2,4,16,32,16,1,0,100.0
1,1,128,4,2,16,4,0,18219.0
0,1,8,16,512,1,1,0,92.0
0,16,4,2,4,128,1,0,100.0
1,1,32,2,16,64,1,0,18211.0
1,16,32,1,2,4,16,0,18219.0
1,1,512,2,4,2,8,0,18219.0
1,1,8,32,1,8,32,0,18211.0
0,1,1,128,4,128,1,0,92.0
1,8,4,4,32,16,1,0,18215.0
0,8,1,16,2,32,8,0,104.0
0,2,32,16,1,32,2,0,100.0
0,16,4,8,1,16,8,0,100.0
0,1,4,128,2,64,1,0,96.0
1,4,2,64,2,8,8,0,18219.0
1,256,4,2,2,2,8,0,18219.0
1,8,64,2,1,1,64,0,18211.0
1,2,16,16,2,32,2,0,18219.0
1,2,128,1,1,256,1,0,18207.0
0,2,2,512,2,1,16,0,100.0
0,8,2,4,16,1,64,0,100.0
0,8,16,2,64,4,1,0,100.0
