Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency
1,2,1,400,128,1,1,0,7.67
1,8,5,4,32,10,2,0,7.06
0,40,1,10,1,16,16,0,31.52
1,1,10,32,20,8,2,0,4.45
1,1,1,400,2,64,2,0,6.73
1,10,4,40,8,8,1,0,5.55
1,1,64,2,50,1,16,0,6.23
1,1,400,1,1,64,4,0,9.2
1,1,40,8,5,64,1,0,3.66
1,5,20,4,16,8,2,0,8.23
1,50,16,2,4,1,16,0,6.81
1,10,4,5,128,2,2,0,11.86
0,10,1,40,64,1,4,0,30.63
1,10,2,16,5,1,64,0,3.79
1,5,8,10,8,16,2,0,9.22
0,1,40,4,20,32,1,0,31.57
1,1,10,16,10,2,32,0,6.55
1,8,1,16,1,800,1,0,6.1
1,40,1,8,2,16,10,0,5.36
0,4,50,1,1,32,16,0,33.31
1,5,32,4,1,20,8,0,4.64
1,16,1,8,4,25,8,0,6.36
0,4,16,10,4,40,1,0,30.0
1,5,10,2,2,256,2,0,10.93
1,4,20,2,4,16,10,0,7.27
0,4,16,5,10,4,8,0,30.56
1,4,1,80,10,16,2,0,6.28
1,4,200,2,4,16,1,0,7.09
1,4,8,5,320,2,1,0,5.77
1,20,10,1,32,16,1,0,12.64
1,400,1,8,2,8,2,0,3.16
1,2,25,8,2,4,32,0,9.29
0,8,4,20,2,4,20,0,30.28
1,2,10,32,2,16,5,0,4.41
1,10,1,80,32,4,1,0,6.86
1,10,20,1,16,8,4,0,12.02
1,2,4,200,2,2,16,0,7.02
1,8,4,4,2,8,50,0,6.18
1,20,2,4,10,4,16,0,6.34
1,320,1,1,8,8,5,0,5.97
1,5,4,5,64,16,1,0,12.13
1,50,2,1,32,32,1,0,11.31
1,2,2,50,32,8,2,0,11.08
1,80,4,2,10,1,16,0,3.9
1,10,160,1,1,8,8,0,6.54
1,2,10,16,8,8,5,0,3.6
1,16,10,5,32,1,4,0,6.89
1,400,4,1,64,1,1,0,7.14
1,1,4,160,2,10,8,0,4.31
0,1,20,160,8,4,1,0,30.76
1,400,1,1,8,2,16,0,8.46
1,16,2,20,1,10,16,0,4.24
1,640,5,1,16,1,2,0,3.32
0,2,100,2,8,16,2,0,30.29
0,1,20,16,5,1,64,0,31.53
1,25,2,2,512,2,1,0,10.08
1,2,20,16,2,5,16,0,6.34
1,2,4,20,1,160,4,0,7.4
1,20,4,20,4,1,16,0,7.56
1,4,10,10,1,4,64,0,9.01
1,1,4,400,2,1,32,0,6.62
1,4,2,50,8,8,4,0,10.51
1,2,5,10,2,256,2,0,11.27
1,1,20,32,32,5,1,0,3.02
1,16,1,50,8,8,2,0,8.75
1,2,40,4,1,80,4,0,5.87
1,40,4,1,5,2,64,0,6.55
