gx,gy,gz,bx,by,bz,smefficiency
1024,1,4,1,2,32,67.23
2,128,4,8,32,1,19.08
16,8,2,8,4,32,10.22
1,1024,8,1,8,4,98.82
128,1,64,8,1,4,98.85
64,1,8,256,2,1,10.19
4,32,8,2,8,16,19.09
64,32,2,2,1,32,67.26
2,128,1,64,16,1,10.21
32,16,2,4,1,64,19.1
64,2,8,8,16,2,19.11
256,1,2,2,64,4,10.23
2,512,8,8,1,4,98.83
1,4,512,4,1,32,35.16
1,1,256,2,128,4,10.22
4,256,2,2,16,4,35.2
32,32,1,64,1,4,19.04
4,64,1,32,8,4,10.24
2,32,128,32,1,1,98.84
32,8,4,16,1,16,19.11
8,512,2,4,2,4,98.88
1,128,4,32,1,16,10.2
16,16,1,16,1,64,10.2
4,32,2,8,2,64,10.22
1,1,2048,16,2,4,35.09
8,8,64,8,1,8,67.26
32,2,16,16,2,8,19.12
8,32,1,4,256,1,10.21
2,1,128,1,32,32,10.24
32,1,8,4,4,64,10.25
32,32,2,2,64,1,35.14
1,256,4,1,16,16,19.06
4096,1,1,1,1,64,67.2
2,8,16,64,16,1,10.2
8,64,2,2,4,32,19.12
512,16,1,4,1,8,98.64
256,4,4,1,64,1,67.26
1,16,16,256,2,2,10.24
4,64,2,8,8,8,10.21
4096,1,1,32,1,2,67.16
2,64,32,8,2,4,67.27
16,8,8,2,2,64,19.11
1,16,64,16,8,2,19.12
16,2,16,1,256,2,10.19
128,8,4,1,8,8,67.25
2,1,256,4,2,64,10.22
32,16,1,4,64,2,10.21
8,4,16,16,32,1,10.2
1,512,8,4,4,4,67.3
4,1,64,64,16,1,10.2
1024,1,8,4,2,4,98.71
16,4,64,16,4,1,67.2
2,32,32,4,8,4,35.17
4,64,8,1,4,32,35.12
1,512,8,8,2,4,67.32
1024,1,2,1,32,4,35.13
4,8,16,4,4,32,10.21
32,4,16,64,2,1,35.11
2,16,8,32,8,4,10.23
1024,1,1,8,16,2,19.07
4,8,8,8,32,4,10.22
32,8,4,8,1,32,19.09
1,16,32,16,32,1,10.19
8,2,256,2,1,32,67.22
2,512,1,2,64,2,19.11
1,128,4,8,2,32,10.21
2,4,512,4,2,8,67.32
512,1,2,16,8,2,19.15
256,1,16,2,2,16,67.26
16,8,16,2,1,64,35.13
2,4,128,128,1,2,19.1
256,4,4,8,1,8,67.23
16,2,16,4,8,16,10.21
4,16,4,2,8,64,10.23
1,64,32,64,1,2,35.16
16,32,2,4,64,1,19.05
64,8,2,1,64,4,19.05
32,16,2,1,8,32,19.03
1,16,16,4,256,1,10.2
1024,2,4,16,2,1,98.69
128,4,1,2,128,2,10.21
1,32,32,4,64,1,19.05
8,4,32,4,4,16,19.13
8,1,128,32,8,1,19.06
4,2,32,16,64,1,10.21
128,1,32,4,4,4,67.33
64,1,4,128,1,8,10.23
8,1,32,16,64,1,10.21
256,16,2,4,8,1,98.8
1,32,16,1,32,16,10.19
16,2,16,1,32,16,10.19
64,32,4,2,8,2,98.77
8,32,2,128,2,2,10.21
1,2,2048,4,16,1,67.22
4,256,1,4,8,8,19.12
4,64,2,64,4,2,10.21
1,16,128,8,1,16,35.14
128,16,1,2,32,2,35.22
32,8,1,8,128,1,10.21
256,4,4,4,8,2,67.34
2,256,1,128,2,2,10.21
4,2,1024,1,16,2,98.75
256,1,4,8,8,4,19.16
32,32,1,8,32,1,19.09
1,4,128,1,256,2,10.19
32,4,16,4,2,16,35.22
2,512,2,8,8,2,35.2
32,16,2,2,8,16,19.12
1,2,128,512,1,2,10.2
1,1024,4,4,2,8,67.3
8,512,1,1,8,8,67.9
4,2,512,2,2,16,67.29
128,1,8,16,16,1,19.08
1024,1,1,8,2,16,19.1
1,64,8,256,1,2,10.2
2,256,2,4,64,1,19.09
2,32,4,32,1,32,10.23
1024,1,1,16,1,16,19.07
8,16,2,2,256,2,10.22
2,1024,2,1,32,2,67.24
8,16,2,2,512,1,10.21
2,8,32,128,1,4,10.21
8,16,32,1,8,8,67.27
16,4,32,1,16,8,35.1
16,1,32,8,16,4,10.22
8,64,8,1,4,16,67.26
4,1,128,1,8,64,10.21
4,16,32,16,8,1,35.14
2,256,1,8,32,2,10.21
2,4,32,4,256,1,10.21
32,8,4,2,16,8,19.12
1,4,128,32,16,1,10.19
1,1024,1,64,4,1,19.05
16,8,8,4,2,32,19.11
2,16,32,1,128,2,19.08
4096,1,1,1,32,2,67.24
512,1,16,4,1,8,98.82
16,4,32,2,16,4,35.2
2,1024,2,8,2,4,67.31
512,16,1,1,4,8,97.54
64,2,8,4,2,32,19.11
2,4,32,1,32,32,10.2
256,8,2,4,2,8,67.24
32,2,16,2,32,4,19.1
32,256,1,8,1,4,98.88
2,2048,1,1,8,8,67.91
8,16,8,1,256,1,19.07
1,16,128,4,32,1,35.12
1,16,64,2,8,16,19.12
8,512,2,8,2,2,98.73
2,256,8,8,8,1,67.27
16,16,4,64,4,1,19.06
128,1,2,32,2,16,10.25
1,2,128,4,256,1,10.21
32,1,64,2,1,64,35.12
4,8,256,16,1,2,98.85
16,8,64,2,4,4,98.71
32,2,64,4,16,1,67.21
2,4,256,1,32,4,35.1
4,4,64,1,32,8,19.07
1,64,16,64,2,2,19.13
128,16,4,2,4,4,98.76
16,1,16,32,2,16,10.25
16,2,8,4,64,4,10.22
2,128,8,64,1,2,35.17
8,512,1,1,16,4,67.72
2,128,1,512,1,2,10.21
512,4,2,2,32,1,67.26
4,64,4,2,16,8,19.12
1,4096,1,1,64,1,67.16
256,8,2,1,1,64,67.21
8,128,8,2,2,8,98.83
8,8,4,64,16,1,10.21
1,64,16,8,1,32,19.06
128,2,16,1,32,2,67.27
64,4,16,4,8,2,67.35
64,2,8,128,2,1,19.09
256,8,1,8,2,8,35.2
1,2048,4,1,4,8,98.8
16,64,8,2,4,4,98.85
64,32,1,2,64,1,35.17
1,2,128,4,32,8,10.25
16,8,16,64,2,1,35.16
4,1024,1,2,4,8,67.23
1,512,2,4,16,4,19.11
128,1,8,2,128,1,19.03
2,32,128,1,1,32,98.87
32,2,4,2,16,32,10.23
1,128,4,4,2,64,10.21
128,2,1,128,4,2,10.24
4,64,2,32,4,4,10.21
8,8,4,2,128,4,10.22
4,128,8,4,1,16,67.26
64,4,32,4,1,8,98.82
4,256,8,1,32,1,98.75
