Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp
0,1,2,112,1,32,7,1,96.0
0,7,1,32,1,16,14,1,96.0
0,14,2,14,4,16,2,1,104.0
0,1,224,1,2,112,1,1,92.0
0,7,1,16,14,16,2,1,104.0
0,1,112,2,28,2,4,1,104.0
0,1,7,16,56,2,4,1,104.0
0,7,16,7,4,1,16,1,100.0
0,8,7,2,28,1,16,1,100.0
0,8,2,14,2,16,7,1,104.0
0,4,28,7,1,64,1,1,96.0
0,2,4,28,1,4,56,1,100.0
0,4,1,28,14,8,4,1,104.0
0,4,1,14,8,14,8,1,104.0
0,1,196,2,2,32,2,1,104.0
0,2,7,8,112,2,2,1,104.0
1,1,7,16,2,16,14,1,15947.0
0,1,2,49,32,8,2,1,104.0
0,98,8,1,64,1,1,1,92.0
0,2,28,2,4,14,8,1,104.0
0,4,7,8,7,8,4,1,104.0
0,7,8,2,32,2,7,1,104.0
0,14,1,28,4,32,1,1,96.0
0,4,4,98,1,4,8,1,100.0
0,1,112,1,2,8,28,1,96.0
0,56,1,2,4,28,4,1,104.0
0,2,7,4,2,64,7,1,104.0
1,2,8,7,14,1,32,1,15943.0
0,4,2,49,8,16,1,1,100.0
0,7,16,2,1,224,1,1,96.0
0,2,2,28,1,14,32,1,100.0
0,1,56,1,56,2,8,1,96.0
0,4,14,1,7,4,32,1,104.0
0,2,56,14,1,4,8,1,100.0
0,14,56,2,1,32,1,1,96.0
0,28,2,1,32,1,28,1,96.0
0,1,2,112,2,56,2,1,104.0
0,28,28,1,2,2,16,1,104.0
0,1,7,56,4,2,16,1,104.0
0,1,1568,1,32,1,1,1,88.0
0,2,8,98,2,16,1,1,100.0
0,1,8,7,56,4,4,1,104.0
0,14,1,4,14,32,2,1,104.0
0,56,1,2,16,2,14,1,104.0
0,2,7,7,4,16,8,1,104.0
0,7,16,1,4,2,56,1,104.0
0,2,7,14,8,1,32,1,100.0
0,1,14,28,1,8,16,1,96.0
0,7,2,4,8,56,2,1,104.0
0,4,196,1,1,64,1,1,92.0
0,14,2,7,2,128,1,1,100.0
1,4,1,49,16,2,8,1,15947.0
1,7,1,8,8,8,14,1,15947.0
1,1,2,112,2,56,2,1,15947.0
0,14,1,16,2,4,28,1,104.0
1,14,2,8,2,7,16,1,15947.0
0,8,14,1,4,2,56,1,104.0
0,1,28,4,56,1,8,1,96.0
0,1,14,112,2,16,1,1,96.0
0,49,32,1,1,1,32,1,92.0
0,4,2,14,7,4,16,1,104.0
1,2,4,14,56,1,8,1,15943.0
0,7,7,1,512,2,1,1,96.0
0,98,8,2,1,4,8,1,100.0
0,7,1,28,8,8,4,1,104.0
0,28,2,1,32,28,1,1,96.0
0,14,16,1,1,28,8,1,99.0
0,4,1,14,7,8,16,1,104.0
0,1,112,2,8,2,14,1,104.0
0,28,1,14,8,16,1,1,96.0
0,112,1,2,7,4,8,1,104.0
0,1,16,98,2,16,1,1,96.0
1,1,7,112,16,4,1,1,15939.0
0,1,14,16,16,7,2,1,104.0
0,98,2,1,32,4,2,1,104.0
0,7,4,4,32,2,7,1,104.0
0,196,1,4,4,1,16,1,96.0
0,98,2,1,64,2,2,1,104.0
0,7,32,1,7,2,16,1,104.0
0,2,4,196,4,4,2,1,104.0
0,56,2,1,2,224,1,1,96.0
