Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 3,  12,  1,  16,  2,  32, 0 , 68.26 
 0, 3,  2,  12,  128,  2,  2, 0 , 67.77 
 0, 4,  12,  2,  192,  2,  1, 0 , 67.41 
 0, 48,  2,  12,  2,  4,  4, 0 , 76.4 
 0, 16,  6,  1,  16,  2,  12, 0 , 68.6 
 0, 1,  6,  24,  64,  1,  4, 0 , 66.57 
 0, 1,  1,  288,  8,  8,  2, 0 , 66.42 
 1, 9,  32,  1,  1,  2,  64, 0 , 89.37 
 1, 4,  1,  12,  4,  3,  64, 0 , 96.34 
 0, 4,  16,  6,  8,  3,  4, 0 , 68.38 
 0, 4,  3,  96,  8,  2,  2, 0 , 76.15 
 0, 48,  4,  2,  4,  24,  1, 0 , 68.6 
 1, 2,  192,  3,  16,  2,  1, 0 , 99.48 
 0, 3,  4,  24,  2,  1,  64, 0 , 65.17 
 0, 1,  6,  24,  4,  32,  2, 0 , 67.32 
 0, 32,  2,  3,  1,  16,  12, 0 , 68.02 
 0, 4,  8,  4,  9,  8,  4, 0 , 67.04 
 0, 2,  8,  18,  64,  1,  2, 0 , 65.87 
 0, 3,  3,  64,  8,  2,  4, 0 , 70.89 
 0, 72,  1,  8,  2,  1,  32, 0 , 70.06 
 0, 12,  8,  2,  16,  12,  1, 0 , 67.95 
 1, 3,  4,  24,  2,  1,  64, 0 , 87.76 
 0, 3,  24,  1,  4,  64,  2, 0 , 68.26 
 0, 1,  1,  128,  9,  8,  4, 0 , 67.4 
 0, 16,  1,  8,  4,  24,  3, 0 , 66.89 
 0, 9,  32,  1,  128,  1,  1, 0 , 66.0 
 0, 2,  12,  16,  1,  3,  32, 0 , 69.15 
 0, 8,  72,  1,  1,  16,  4, 0 , 70.93 
 0, 3,  8,  2,  12,  2,  32, 0 , 68.67 
 1, 4,  4,  6,  64,  1,  6, 0 , 87.67 
 0, 2,  24,  1,  8,  6,  16, 0 , 68.99 
 0, 6,  3,  4,  16,  16,  2, 0 , 67.65 
 0, 2,  6,  4,  2,  96,  4, 0 , 68.45 
 0, 2,  3,  6,  8,  8,  16, 0 , 68.23 
 0, 3,  8,  2,  24,  8,  4, 0 , 68.33 
 0, 9,  1,  64,  8,  2,  4, 0 , 70.54 
 0, 3,  1,  24,  32,  8,  2, 0 , 67.79 
 0, 3,  3,  4,  512,  1,  2, 0 , 67.79 
 0, 12,  2,  6,  2,  128,  1, 0 , 66.72 
 0, 3,  12,  16,  2,  16,  2, 0 , 70.78 
 0, 6,  16,  2,  6,  16,  2, 0 , 66.67 
 0, 1,  32,  2,  16,  4,  9, 0 , 66.56 
 0, 8,  48,  3,  2,  2,  8, 0 , 76.29 
 0, 8,  9,  1,  1,  16,  32, 0 , 67.3 
 1, 3,  4,  16,  1,  192,  1, 0 , 94.69 
 0, 36,  1,  1,  8,  16,  8, 0 , 67.91 
 0, 4,  24,  1,  16,  8,  3, 0 , 68.28 
 0, 16,  1,  12,  192,  1,  1, 0 , 67.12 
 0, 16,  4,  1,  36,  2,  8, 0 , 66.85 
 0, 1,  2,  32,  1,  96,  6, 0 , 66.32 
 1, 16,  12,  1,  4,  16,  3, 0 , 86.73 
 1, 3,  64,  3,  8,  8,  1, 0 , 88.34 
 0, 1,  2,  288,  8,  1,  8, 0 , 70.52 
 1, 12,  2,  16,  3,  2,  16, 0 , 94.14 
 1, 8,  8,  9,  1,  8,  8, 0 , 91.17 
 0, 6,  1,  8,  96,  2,  4, 0 , 68.86 
 0, 3,  1,  48,  16,  16,  1, 0 , 67.23 
 0, 3,  16,  12,  2,  16,  2, 0 , 70.74 
 1, 24,  8,  6,  8,  4,  1, 0 , 99.28 
 0, 9,  32,  2,  1,  1,  64, 0 , 69.48 
 0, 12,  1,  12,  128,  1,  2, 0 , 66.1 
 0, 2,  8,  8,  6,  24,  2, 0 , 67.61 
 0, 32,  1,  6,  24,  1,  8, 0 , 67.2 
 0, 4,  1,  18,  4,  32,  4, 0 , 67.68 
 1, 32,  6,  2,  4,  8,  3, 0 , 89.53 
 1, 1,  1,  384,  1,  12,  8, 0 , 94.03 
 0, 72,  1,  4,  4,  1,  32, 0 , 66.58 
 1, 9,  1,  16,  128,  1,  2, 0 , 87.41 
 1, 4,  1,  96,  1,  16,  6, 0 , 87.59 
 0, 32,  1,  12,  8,  12,  1, 0 , 68.33 
 0, 8,  1,  8,  3,  16,  12, 0 , 66.19 
 1, 1,  2,  64,  4,  6,  12, 0 , 94.13 
 0, 6,  12,  16,  1,  4,  8, 0 , 76.31 
 0, 2,  48,  1,  192,  1,  2, 0 , 67.64 
 0, 1,  1,  48,  4,  16,  12, 0 , 68.39 
 0, 6,  32,  6,  1,  2,  16, 0 , 76.3 
 1, 3,  32,  2,  2,  48,  2, 0 , 86.4 
 1, 288,  1,  1,  128,  1,  1, 0 , 90.71 
 0, 1,  64,  3,  4,  48,  1, 0 , 66.63 
 1, 3,  64,  1,  24,  8,  1, 0 , 93.99 
 1, 4,  3,  48,  2,  4,  8, 0 , 96.18 
 0, 8,  4,  3,  4,  48,  2, 0 , 67.63 
 1, 6,  96,  1,  4,  1,  16, 0 , 96.78 
 0, 2,  32,  1,  4,  16,  9, 0 , 66.86 
