Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency
1,2,160,1,4,2,40,1,12.5
1,2,10,10,16,16,2,1,12.5
1,400,2,4,4,4,2,1,12.5
1,2,16,10,1,20,16,1,12.5
1,25,64,1,2,16,2,1,12.5
1,2,10,5,256,2,2,1,12.5
1,2,80,2,320,1,1,1,12.5
1,1,8,20,80,2,4,1,12.5
0,1,2,160,4,2,40,1,100.0
1,8,1,16,100,1,8,1,12.5
1,8,20,2,32,1,10,1,12.5
1,2,2,50,4,2,64,1,12.5
1,32,10,2,2,16,5,1,12.5
1,10,1,80,32,1,4,1,12.5
1,1,10,320,2,8,2,1,12.5
1,5,1,128,160,1,1,1,12.5
1,1,40,20,4,1,32,1,12.5
0,1,25,16,8,8,4,1,100.0
1,5,10,16,16,1,8,1,12.5
1,40,8,1,2,5,32,1,12.5
1,16,10,2,64,1,5,1,12.5
1,16,100,1,32,1,2,1,12.5
1,2,40,5,32,4,2,1,12.5
1,1,160,1,4,160,1,1,12.5
1,5,32,2,5,2,32,1,12.5
1,1,4,200,4,16,2,1,12.5
1,2,16,20,2,80,1,1,12.5
0,2,20,10,16,16,1,1,100.0
1,1,5,320,16,4,1,1,12.5
1,1,4,25,2,512,1,1,12.5
1,16,2,10,160,1,2,1,12.5
1,32,1,10,1,5,64,1,12.5
1,2,20,16,4,10,4,1,12.5
1,20,16,1,1,5,64,1,5.57
1,160,4,1,10,2,8,1,12.5
1,1,320,1,2,32,5,1,12.5
1,800,2,1,16,4,1,1,12.5
0,16,2,10,160,1,2,1,100.0
1,32,1,10,8,20,2,1,12.5
0,8,10,20,8,1,8,1,100.0
1,4,10,40,2,4,8,1,12.5
1,8,400,1,1,16,2,1,6.65
1,40,5,2,4,4,16,1,12.5
1,40,10,4,16,1,4,1,12.5
1,64,10,1,80,2,1,1,12.5
1,160,2,5,2,2,16,1,12.5
1,1,50,4,4,4,32,1,12.5
1,1,8,16,5,160,1,1,12.5
1,1,2,320,2,10,8,1,12.5
1,16,20,5,2,32,1,1,12.5
0,40,40,1,4,8,2,1,100.0
1,20,5,32,4,2,4,1,12.5
0,1,800,1,2,8,8,1,100.0
0,16,50,1,1,128,1,1,100.0
1,10,4,16,8,5,4,1,12.5
1,5,64,1,1,64,5,1,12.5
0,20,16,1,1,5,64,1,60.0
1,5,8,8,40,8,1,1,12.5
1,100,1,4,8,4,8,1,12.5
1,4,2,25,512,1,1,1,12.5
1,5,8,5,1,128,4,1,12.5
0,2,80,2,1,16,20,1,100.0
1,16,4,2,25,4,8,1,12.5
1,8,25,16,1,4,8,1,12.5
1,160,10,2,2,16,1,1,12.5
1,4,1,32,32,25,1,1,12.5
1,4,2,80,80,2,1,1,12.5
1,1,50,2,256,2,2,1,12.5
0,64,1,2,8,25,4,1,100.0
1,64,2,1,2,10,40,1,12.5
1,2,20,16,40,4,1,1,12.5
0,64,1,5,2,10,16,1,100.0
1,5,4,80,16,1,4,1,12.5
1,2,5,32,1,160,2,1,12.5
1,2,100,16,32,1,1,1,12.5
1,1,8,20,1,128,5,1,12.5
1,80,40,1,2,4,4,1,12.5
1,25,1,64,64,1,1,1,12.5
1,2,8,20,5,16,4,1,12.5
0,1,40,4,8,20,4,1,100.0
0,1,32,4,4,8,25,1,100.0
1,4,40,4,5,4,8,1,12.5
1,80,2,1,4,80,2,1,12.5
1,5,1,40,32,8,2,1,12.5
1,80,2,2,10,8,4,1,12.5
1,25,2,2,32,4,8,1,12.5
0,32,2,2,40,20,1,1,100.0
1,80,1,4,10,2,16,1,12.5
1,2,320,1,1,8,20,1,7.5
0,4,80,1,8,8,5,1,100.0
1,4,1,40,32,20,1,1,12.5
1,2,8,8,20,5,8,1,12.5
1,4,2,50,1,256,1,1,12.5
1,1,8,80,1,40,4,1,12.5
1,1,20,16,80,1,4,1,12.5
1,4,8,10,8,40,1,1,12.5
1,50,1,32,2,4,8,1,12.5
1,100,4,2,1,64,2,1,12.5
1,2,4,25,64,4,2,1,12.5
1,40,8,1,8,10,4,1,12.5
1,2,1,64,20,20,2,1,12.5
1,64,2,1,20,20,2,1,12.5
1,2,40,2,2,64,5,1,12.5
1,4,10,8,8,5,8,1,12.5
1,10,5,2,16,64,1,1,12.5
1,10,160,1,4,2,8,1,12.5
1,4,1,32,10,8,10,1,12.5
1,32,10,5,1,1,64,1,12.5
1,1,10,32,8,20,2,1,12.5
1,16,5,40,8,4,1,1,12.5
1,2,1,800,4,2,8,1,12.5
1,1,16,50,32,1,4,1,12.5
1,8,16,25,2,2,8,1,12.5
1,16,1,20,5,1,64,1,12.5
1,25,128,1,32,1,1,1,12.5
1,10,16,2,1,5,64,1,12.5
1,16,2,10,8,40,1,1,12.5
1,2,400,1,8,4,4,1,12.5
1,10,4,80,4,8,1,1,12.5
1,1,5,32,10,8,8,1,12.5
