gx,gy,gz,bx,by,bz,smefficiency
16,1,1,16,1,16,10.46
1,16,2,1,32,4,10.51
2,8,2,32,1,4,10.7
8,2,2,8,1,16,10.7
4,4,4,1,64,1,10.64
2,32,1,2,1,32,10.52
4,1,2,1,8,64,9.59
4,1,8,128,1,1,11.52
1,1,8,2,16,16,9.62
16,4,1,4,1,16,10.52
2,1,64,4,8,1,18.27
4,8,4,8,4,1,19.04
1,16,4,32,1,2,10.65
1,128,1,2,4,4,18.21
4,1,1,16,16,4,8.71
4,16,1,2,1,32,10.53
16,2,1,64,1,2,10.5
1,1,4,512,1,2,8.65
1,2,4,4,2,64,9.64
8,1,16,1,2,16,18.64
4,4,2,2,1,64,10.71
4,2,16,2,8,2,18.39
8,4,2,2,8,4,11.28
1,8,4,32,2,2,11.32
16,1,1,4,16,4,10.48
16,4,1,1,8,8,12.71
1,2,16,4,8,4,10.56
1,4,1,1,128,8,8.65
4,4,2,32,2,2,10.76
4,16,1,16,1,4,10.52
8,16,1,8,4,1,18.3
1,4,4,1,32,8,10.51
64,1,1,32,2,1,10.48
4,8,1,2,16,4,10.54
1,2,16,1,64,2,11.33
16,1,4,16,1,4,11.68
8,2,2,8,2,8,10.76
4,4,1,16,8,2,10.52
1,16,2,2,16,4,10.56
8,2,4,4,2,8,10.77
2,16,2,1,16,4,10.54
1,16,4,4,2,8,10.57
4,4,4,2,2,16,10.76
4,8,1,2,32,2,11.33
2,1,2,128,8,1,8.67
8,4,4,1,8,4,18.19
1,1,4,8,8,16,8.66
1,4,1,64,8,2,8.67
1,16,1,4,8,8,10.54
1,8,1,32,16,1,9.64
1,4,1,128,1,8,8.7
32,1,2,32,1,2,10.7
8,2,2,1,32,4,11.04
2,2,16,1,2,32,10.54
2,1,4,8,8,8,9.66
2,4,2,2,128,1,10.54
2,1,2,16,4,16,8.72
1,8,4,16,8,1,10.51
4,8,1,8,4,4,10.54
1,2,2,128,4,2,8.94
32,1,1,1,8,16,10.48
4,2,8,8,2,4,10.77
8,1,1,2,16,16,9.71
8,2,2,16,8,1,10.55
16,2,2,16,1,4,10.73
8,2,4,1,32,2,10.54
32,1,1,2,32,2,10.67
8,2,1,4,8,8,10.53
4,4,2,4,1,32,10.68
2,2,1,16,2,32,8.71
2,2,1,512,1,2,8.67
1,1,4,8,4,32,8.67
1,2,2,512,1,2,8.7
8,4,2,2,1,32,10.73
128,1,1,4,2,4,18.33
2,16,4,16,2,1,18.2
1,16,2,8,2,8,10.55
1,1,16,8,2,16,10.53
2,4,8,2,16,2,10.76
16,4,2,8,4,1,18.19
64,1,2,4,4,2,18.27
1,32,1,4,4,8,10.57
1,8,1,32,2,8,9.62
8,8,2,32,1,1,18.17
1,1,8,4,64,2,9.62
2,2,2,1,256,2,9.61
2,1,4,4,16,8,9.66
1,8,8,1,8,8,10.54
4,2,8,4,2,8,10.77
128,1,1,16,2,1,18.15
16,2,2,16,2,2,10.77
4,2,2,8,32,1,10.53
1,8,8,2,1,32,10.66
32,1,2,2,2,16,10.64
16,2,2,4,2,8,10.78
1,4,8,16,8,1,10.53
2,16,4,2,8,2,18.46
2,4,1,8,64,1,9.66
1,64,1,1,4,16,10.53
16,1,1,8,2,16,10.67
2,2,8,32,2,2,10.76
1,2,32,8,2,4,10.57
2,16,2,16,4,1,10.55
4,1,8,1,64,2,10.48
4,2,2,1,64,4,10.52
64,1,2,2,1,16,18.34
2,2,16,1,8,8,10.54
1,1,32,1,2,64,10.59
8,2,4,1,8,8,10.54
4,1,1,8,4,32,8.9
2,1,32,1,32,2,10.52
4,1,2,4,8,16,9.67
1,1,4,32,2,16,8.67
2,1,4,16,2,16,9.67
32,2,2,4,4,2,18.4
64,1,1,1,8,8,10.5
1,2,4,32,8,2,9.68
1,1,8,256,2,1,9.58
2,1,2,1,32,32,8.67
2,8,1,1,64,4,10.45
8,2,4,1,4,16,10.54
1,1,4,4,8,32,8.92
16,1,8,2,16,1,18.26
2,2,1,32,2,16,8.71
8,2,4,1,16,4,10.54
2,2,2,4,4,32,9.78
4,1,1,128,8,1,8.65
8,2,4,4,8,2,10.8
2,4,2,8,2,16,11.55
16,1,2,16,4,2,10.62
1,32,2,1,32,2,10.52
1,8,1,2,128,2,9.6
4,4,1,2,2,64,11.35
