gx,gy,gz,bx,by,bz,gpuId,smefficiency   
1,4,2,64,8,1,0,9.61 
1,8,1,64,8,1,0,9.66 
2,1,4,64,8,1,0,9.65 
2,2,2,64,8,1,0,9.63 
2,4,1,64,8,1,0,9.68 
4,1,2,64,8,1,0,9.67 
4,2,1,64,8,1,0,9.68 
8,1,1,64,8,1,0,9.59 
1,1,4,128,8,1,0,8.65 
1,2,2,128,8,1,0,8.66 
1,4,1,128,8,1,0,8.66 
2,1,2,128,8,1,0,8.67 
2,2,1,128,8,1,0,8.7 
4,1,1,128,8,1,0,8.65 
1,1,128,2,16,1,0,18.16 
1,2,64,2,16,1,0,18.21 
1,4,32,2,16,1,0,18.19 
1,8,16,2,16,1,0,18.2 
1,16,8,2,16,1,0,18.24 
1,32,4,2,16,1,0,18.2 
1,64,2,2,16,1,0,18.19 
1,128,1,2,16,1,0,18.26 
2,1,64,2,16,1,0,18.28 
2,2,32,2,16,1,0,18.22 
2,4,16,2,16,1,0,18.23 
2,8,8,2,16,1,0,18.21 
2,16,4,2,16,1,0,18.23 
2,32,2,2,16,1,0,18.19 
2,64,1,2,16,1,0,18.3 
4,1,32,2,16,1,0,18.3 
4,2,16,2,16,1,0,18.22 
4,4,8,2,16,1,0,18.23 
4,8,4,2,16,1,0,18.24 
4,16,2,2,16,1,0,18.2 
4,32,1,2,16,1,0,18.31 
8,1,16,2,16,1,0,18.27 
8,2,8,2,16,1,0,18.23 
8,4,4,2,16,1,0,18.22 
8,8,2,2,16,1,0,18.23 
8,16,1,2,16,1,0,18.28 
16,1,8,2,16,1,0,18.3 
16,2,4,2,16,1,0,18.23 
16,4,2,2,16,1,0,18.22 
16,8,1,2,16,1,0,18.31 
32,1,4,2,16,1,0,18.3 
32,2,2,2,16,1,0,18.23 
32,4,1,2,16,1,0,18.32 
64,1,2,2,16,1,0,18.3 
64,2,1,2,16,1,0,18.31 
128,1,1,2,16,1,0,18.17 
1,1,64,4,16,1,0,10.5 
1,2,32,4,16,1,0,10.54 
1,4,16,4,16,1,0,10.54 
1,8,8,4,16,1,0,10.52 
1,16,4,4,16,1,0,10.53 
1,32,2,4,16,1,0,10.54 
1,64,1,4,16,1,0,10.63 
2,1,32,4,16,1,0,10.65 
2,2,16,4,16,1,0,10.56 
2,4,8,4,16,1,0,10.57 
2,8,4,4,16,1,0,10.57 
2,16,2,4,16,1,0,10.57 
2,32,1,4,16,1,0,10.65 
4,1,16,4,16,1,0,10.65 
4,2,8,4,16,1,0,10.57 
4,4,4,4,16,1,0,10.57 
4,8,2,4,16,1,0,10.62 
4,16,1,4,16,1,0,10.66 
8,1,8,4,16,1,0,10.65 
8,2,4,4,16,1,0,10.57 
8,4,2,4,16,1,0,10.6 
8,8,1,4,16,1,0,10.66 
16,1,4,4,16,1,0,10.65 
16,2,2,4,16,1,0,10.57 
16,4,1,4,16,1,0,10.66 
32,1,2,4,16,1,0,10.65 
32,2,1,4,16,1,0,10.66 
64,1,1,4,16,1,0,10.51 
1,1,32,8,16,1,0,10.48 
1,2,16,8,16,1,0,10.52 
1,4,8,8,16,1,0,10.53 
1,8,4,8,16,1,0,10.52 
1,16,2,8,16,1,0,10.52 
1,32,1,8,16,1,0,10.6 
2,1,16,8,16,1,0,10.63 
2,2,8,8,16,1,0,10.56 
2,4,4,8,16,1,0,10.56 
2,8,2,8,16,1,0,10.56 
2,16,1,8,16,1,0,10.63 
4,1,8,8,16,1,0,10.63 
4,2,4,8,16,1,0,10.56 
4,4,2,8,16,1,0,10.56 
4,8,1,8,16,1,0,10.49 
8,1,4,8,16,1,0,10.63 
8,2,2,8,16,1,0,10.57 
8,4,1,8,16,1,0,10.63 
16,1,2,8,16,1,0,10.63 
16,2,1,8,16,1,0,10.63 
