'gx:23, gy:3, gz:1, bx:6, by:16, bz:1, ' 
'gx:69, gy:1, gz:1, bx:6, by:16, bz:1, ' 
'gx:1, gy:1, gz:23, bx:18, by:16, bz:1, ' 
'gx:1, gy:23, gz:1, bx:18, by:16, bz:1, ' 
'gx:23, gy:1, gz:1, bx:18, by:16, bz:1, ' 
'gx:1, gy:1, gz:9, bx:46, by:16, bz:1, ' 
'gx:1, gy:3, gz:3, bx:46, by:16, bz:1, ' 
'gx:1, gy:9, gz:1, bx:46, by:16, bz:1, ' 
'gx:3, gy:1, gz:3, bx:46, by:16, bz:1, ' 
'gx:3, gy:3, gz:1, bx:46, by:16, bz:1, ' 
'gx:9, gy:1, gz:1, bx:46, by:16, bz:1, ' 
'gx:1, gy:1, gz:23, bx:16, by:18, bz:1, ' 
'gx:1, gy:23, gz:1, bx:16, by:18, bz:1, ' 
'gx:23, gy:1, gz:1, bx:16, by:18, bz:1, ' 
'gx:1, gy:1, gz:9, bx:32, by:23, bz:1, ' 
'gx:1, gy:3, gz:3, bx:32, by:23, bz:1, ' 
'gx:1, gy:9, gz:1, bx:32, by:23, bz:1, ' 
'gx:3, gy:1, gz:3, bx:32, by:23, bz:1, ' 
'gx:3, gy:3, gz:1, bx:32, by:23, bz:1, ' 
'gx:9, gy:1, gz:1, bx:32, by:23, bz:1, ' 
'gx:1, gy:1, gz:69, bx:4, by:24, bz:1, ' 
'gx:1, gy:3, gz:23, bx:4, by:24, bz:1, ' 
'gx:1, gy:23, gz:3, bx:4, by:24, bz:1, ' 
'gx:1, gy:69, gz:1, bx:4, by:24, bz:1, ' 
'gx:3, gy:1, gz:23, bx:4, by:24, bz:1, ' 
'gx:3, gy:23, gz:1, bx:4, by:24, bz:1, ' 
'gx:23, gy:1, gz:3, bx:4, by:24, bz:1, ' 
'gx:23, gy:3, gz:1, bx:4, by:24, bz:1, ' 
'gx:69, gy:1, gz:1, bx:4, by:24, bz:1, ' 
'gx:1, gy:1, gz:23, bx:12, by:24, bz:1, ' 
'gx:1, gy:23, gz:1, bx:12, by:24, bz:1, ' 
'gx:23, gy:1, gz:1, bx:12, by:24, bz:1, ' 
'gx:1, gy:1, gz:207, bx:1, by:32, bz:1, ' 
'gx:1, gy:3, gz:69, bx:1, by:32, bz:1, ' 
'gx:1, gy:9, gz:23, bx:1, by:32, bz:1, ' 
'gx:1, gy:23, gz:9, bx:1, by:32, bz:1, ' 
'gx:1, gy:69, gz:3, bx:1, by:32, bz:1, ' 
'gx:1, gy:207, gz:1, bx:1, by:32, bz:1, ' 
'gx:3, gy:1, gz:69, bx:1, by:32, bz:1, ' 
'gx:3, gy:3, gz:23, bx:1, by:32, bz:1, ' 
'gx:3, gy:23, gz:3, bx:1, by:32, bz:1, ' 
'gx:3, gy:69, gz:1, bx:1, by:32, bz:1, ' 
'gx:9, gy:1, gz:23, bx:1, by:32, bz:1, ' 
'gx:9, gy:23, gz:1, bx:1, by:32, bz:1, ' 
'gx:23, gy:1, gz:9, bx:1, by:32, bz:1, ' 
'gx:23, gy:3, gz:3, bx:1, by:32, bz:1, ' 
'gx:23, gy:9, gz:1, bx:1, by:32, bz:1, ' 
'gx:69, gy:1, gz:3, bx:1, by:32, bz:1, ' 
'gx:69, gy:3, gz:1, bx:1, by:32, bz:1, ' 
'gx:207, gy:1, gz:1, bx:1, by:32, bz:1, ' 
'gx:1, gy:1, gz:69, bx:3, by:32, bz:1, ' 
'gx:1, gy:3, gz:23, bx:3, by:32, bz:1, ' 
'gx:1, gy:23, gz:3, bx:3, by:32, bz:1, ' 
'gx:1, gy:69, gz:1, bx:3, by:32, bz:1, ' 
'gx:3, gy:1, gz:23, bx:3, by:32, bz:1, ' 
'gx:3, gy:23, gz:1, bx:3, by:32, bz:1, ' 
'gx:23, gy:1, gz:3, bx:3, by:32, bz:1, ' 
'gx:23, gy:3, gz:1, bx:3, by:32, bz:1, ' 
'gx:69, gy:1, gz:1, bx:3, by:32, bz:1, ' 
'gx:1, gy:1, gz:23, bx:9, by:32, bz:1, ' 
'gx:1, gy:23, gz:1, bx:9, by:32, bz:1, ' 
'gx:23, gy:1, gz:1, bx:9, by:32, bz:1, ' 
'gx:1, gy:1, gz:9, bx:23, by:32, bz:1, ' 
'gx:1, gy:3, gz:3, bx:23, by:32, bz:1, ' 
'gx:1, gy:9, gz:1, bx:23, by:32, bz:1, ' 
'gx:3, gy:1, gz:3, bx:23, by:32, bz:1, ' 
'gx:3, gy:3, gz:1, bx:23, by:32, bz:1, ' 
'gx:9, gy:1, gz:1, bx:23, by:32, bz:1, ' 
'gx:1, gy:1, gz:23, bx:8, by:36, bz:1, ' 
'gx:1, gy:23, gz:1, bx:8, by:36, bz:1, ' 
'gx:23, gy:1, gz:1, bx:8, by:36, bz:1, ' 
'gx:1, gy:1, gz:9, bx:16, by:46, bz:1, ' 
'gx:1, gy:3, gz:3, bx:16, by:46, bz:1, ' 
'gx:1, gy:9, gz:1, bx:16, by:46, bz:1, ' 
'gx:3, gy:1, gz:3, bx:16, by:46, bz:1, ' 
'gx:3, gy:3, gz:1, bx:16, by:46, bz:1, ' 
'gx:9, gy:1, gz:1, bx:16, by:46, bz:1, ' 
'gx:1, gy:1, gz:69, bx:2, by:48, bz:1, ' 
'gx:1, gy:3, gz:23, bx:2, by:48, bz:1, ' 
'gx:1, gy:23, gz:3, bx:2, by:48, bz:1, ' 
'gx:1, gy:69, gz:1, bx:2, by:48, bz:1, ' 
'gx:3, gy:1, gz:23, bx:2, by:48, bz:1, ' 
'gx:3, gy:23, gz:1, bx:2, by:48, bz:1, ' 
'gx:23, gy:1, gz:3, bx:2, by:48, bz:1, ' 
'gx:23, gy:3, gz:1, bx:2, by:48, bz:1, ' 
'gx:69, gy:1, gz:1, bx:2, by:48, bz:1, ' 
'gx:1, gy:1, gz:23, bx:6, by:48, bz:1, ' 
'gx:1, gy:23, gz:1, bx:6, by:48, bz:1, ' 
'gx:23, gy:1, gz:1, bx:6, by:48, bz:1, ' 
'gx:1, gy:1, gz:23, bx:4, by:72, bz:1, ' 
'gx:1, gy:23, gz:1, bx:4, by:72, bz:1, ' 
'gx:23, gy:1, gz:1, bx:4, by:72, bz:1, ' 
'gx:1, gy:1, gz:9, bx:8, by:92, bz:1, ' 
'gx:1, gy:3, gz:3, bx:8, by:92, bz:1, ' 
'gx:1, gy:9, gz:1, bx:8, by:92, bz:1, ' 
'gx:3, gy:1, gz:3, bx:8, by:92, bz:1, ' 
'gx:3, gy:3, gz:1, bx:8, by:92, bz:1, ' 
'gx:9, gy:1, gz:1, bx:8, by:92, bz:1, ' 
'gx:1, gy:1, gz:69, bx:1, by:96, bz:1, ' 
'gx:1, gy:3, gz:23, bx:1, by:96, bz:1, ' 
'gx:1, gy:23, gz:3, bx:1, by:96, bz:1, ' 
'gx:1, gy:69, gz:1, bx:1, by:96, bz:1, ' 
'gx:3, gy:1, gz:23, bx:1, by:96, bz:1, ' 
'gx:3, gy:23, gz:1, bx:1, by:96, bz:1, ' 
'gx:23, gy:1, gz:3, bx:1, by:96, bz:1, ' 
'gx:23, gy:3, gz:1, bx:1, by:96, bz:1, ' 
'gx:69, gy:1, gz:1, bx:1, by:96, bz:1, ' 
'gx:1, gy:1, gz:23, bx:3, by:96, bz:1, ' 
'gx:1, gy:23, gz:1, bx:3, by:96, bz:1, ' 
'gx:23, gy:1, gz:1, bx:3, by:96, bz:1, ' 
'gx:1, gy:1, gz:23, bx:2, by:144, bz:1, ' 
'gx:1, gy:23, gz:1, bx:2, by:144, bz:1, ' 
'gx:23, gy:1, gz:1, bx:2, by:144, bz:1, ' 
'gx:1, gy:1, gz:9, bx:4, by:184, bz:1, ' 
'gx:1, gy:3, gz:3, bx:4, by:184, bz:1, ' 
'gx:1, gy:9, gz:1, bx:4, by:184, bz:1, ' 
'gx:3, gy:1, gz:3, bx:4, by:184, bz:1, ' 
'gx:3, gy:3, gz:1, bx:4, by:184, bz:1, ' 
'gx:9, gy:1, gz:1, bx:4, by:184, bz:1, ' 
'gx:1, gy:1, gz:23, bx:1, by:288, bz:1, ' 
'gx:1, gy:23, gz:1, bx:1, by:288, bz:1, ' 
'gx:23, gy:1, gz:1, bx:1, by:288, bz:1, ' 
'gx:1, gy:1, gz:9, bx:2, by:368, bz:1, ' 
'gx:1, gy:3, gz:3, bx:2, by:368, bz:1, ' 
'gx:1, gy:9, gz:1, bx:2, by:368, bz:1, ' 
'gx:3, gy:1, gz:3, bx:2, by:368, bz:1, ' 
'gx:3, gy:3, gz:1, bx:2, by:368, bz:1, ' 
'gx:9, gy:1, gz:1, bx:2, by:368, bz:1, ' 
'gx:1, gy:1, gz:9, bx:1, by:736, bz:1, ' 
'gx:1, gy:3, gz:3, bx:1, by:736, bz:1, ' 
'gx:1, gy:9, gz:1, bx:1, by:736, bz:1, ' 
'gx:3, gy:1, gz:3, bx:1, by:736, bz:1, ' 
'gx:3, gy:3, gz:1, bx:1, by:736, bz:1, ' 
'gx:9, gy:1, gz:1, bx:1, by:736, bz:1, ' 
'gx:1, gy:1, gz:207, bx:16, by:1, bz:2, ' 
'gx:1, gy:3, gz:69, bx:16, by:1, bz:2, ' 
'gx:1, gy:9, gz:23, bx:16, by:1, bz:2, ' 
'gx:1, gy:23, gz:9, bx:16, by:1, bz:2, ' 
'gx:1, gy:69, gz:3, bx:16, by:1, bz:2, ' 
'gx:1, gy:207, gz:1, bx:16, by:1, bz:2, ' 
'gx:3, gy:1, gz:69, bx:16, by:1, bz:2, ' 
'gx:3, gy:3, gz:23, bx:16, by:1, bz:2, ' 
'gx:3, gy:23, gz:3, bx:16, by:1, bz:2, ' 
'gx:3, gy:69, gz:1, bx:16, by:1, bz:2, ' 
'gx:9, gy:1, gz:23, bx:16, by:1, bz:2, ' 
