Kernel,gx,gy,gz,bx,by,gpuId,ipc
0,1,1,64,1,128,2,1,0.615568
1,8,8,2,1,64,2,1,0.16783
1,4,32,1,4,16,2,1,0.168007
1,2,2,64,8,8,1,1,0.18673
1,8,2,4,4,1,64,1,0.166847
1,1,16,32,2,2,8,1,0.239904
1,32,2,1,2,8,16,1,0.167106
0,8,2,32,2,16,1,1,0.430793
1,4,2,64,16,2,1,1,0.238483
1,4,1,4,128,8,1,1,0.190011
1,4,8,1,1,16,32,1,0.784111
1,4,4,1,32,4,8,1,0.190003
1,2,8,4,4,32,2,1,0.167079
1,8,1,2,2,8,64,1,0.190196
1,4,1,64,1,16,4,1,0.186925
1,1,32,4,4,8,4,1,0.168457
1,256,2,1,4,8,1,1,0.243215
1,1,1,64,128,2,1,1,0.167794
1,4,32,2,1,1,64,1,0.1866
1,1,16,1,256,4,1,1,0.190331
1,16,4,2,32,1,4,1,0.168256
1,4,32,4,4,4,2,1,0.239181
1,2,8,8,2,1,64,1,0.16804
1,32,1,16,1,4,8,1,0.23886
0,8,2,4,4,1,64,1,0.627923
1,2,8,4,16,16,1,1,0.1669
1,1,8,32,1,32,2,1,0.186743
1,1,4,64,32,2,1,1,0.186909
1,2,4,2,128,4,2,1,0.190371
1,4,1,4,64,2,8,1,0.190659
1,4,16,4,32,1,2,1,0.187301
1,1,2,8,16,1,64,1,0.190323
1,8,32,1,4,1,16,1,0.186699
1,1,1,256,2,8,4,1,0.186127
1,2,8,4,2,32,4,1,0.167082
1,16,4,8,1,4,8,1,0.242838
1,8,16,2,8,8,1,1,0.187737
1,2,8,1,4,8,32,1,0.19018
1,4,2,4,1,64,8,1,0.175695
1,16,2,1,32,1,16,1,0.175597
0,4,4,1,512,1,2,1,0.613553
1,16,2,8,1,1,64,1,0.186508
1,4,32,2,8,1,8,1,0.18655
1,1,4,64,1,1,64,1,0.187275
1,1,4,16,16,16,1,1,0.166978
1,2,32,1,32,8,1,1,0.166851
1,1,512,1,4,2,4,1,0.239357
1,1,1,16,128,1,8,1,0.190357
1,8,2,32,8,1,4,1,0.235684
