Kernel,gx,gy,gz,bx,by,bz,gpuId,gld_efficiency
0,1,80,4,10,8,4,0,21.69
0,5,8,5,16,8,4,0,21.69
0,1,10,64,10,8,2,0,21.69
0,4,4,8,50,8,2,0,21.69
0,40,20,4,1,8,4,0,21.69
0,100,2,1,1,512,1,0,21.69
0,1,64,5,2,16,10,0,21.69
0,20,8,2,8,10,4,0,21.69
0,2,400,4,1,16,2,0,21.69
0,8,1,200,16,2,2,0,21.69
0,20,10,1,2,256,1,0,21.69
0,40,1,4,64,10,1,0,21.69
0,5,4,8,5,128,1,0,21.69
0,1,16,40,1,8,20,0,21.69
0,100,1,8,1,128,1,0,21.69
0,1,10,40,16,8,2,0,21.69
0,20,5,4,16,2,8,0,21.69
0,4,1,160,2,16,5,0,21.69
0,2,40,2,8,10,8,0,21.69
0,1,2,800,1,1,64,0,21.69
0,25,1,32,16,2,4,0,21.69
0,5,5,128,2,1,16,0,21.69
0,1,80,4,8,5,8,0,21.69
0,2,64,1,16,25,2,0,21.69
0,16,2,5,40,8,2,0,21.69
0,2,1,80,4,80,2,0,21.69
0,5,16,10,64,2,1,0,21.69
0,8,10,2,64,2,5,0,21.69
0,4,4,8,4,8,25,0,21.69
0,2,80,4,4,8,5,0,21.69
0,1,10,80,32,4,1,0,21.69
0,20,4,2,20,32,1,0,21.69
0,1,80,2,2,40,8,0,21.69
0,8,2,8,160,5,1,0,21.69
0,2,80,2,4,80,1,0,21.69
0,8,20,20,16,2,1,0,21.69
0,2,1,320,5,16,2,0,21.69
0,32,20,5,4,2,4,0,21.69
0,1,25,4,512,1,2,0,21.69
0,2,80,2,16,10,2,0,21.69
0,64,5,1,2,40,4,0,21.69
0,1,1,160,4,8,20,0,21.69
0,10,80,4,1,1,32,0,21.69
0,4,1,80,2,16,10,0,21.69
0,16,5,8,5,4,8,0,21.69
0,16,2,10,1,320,1,0,21.69
0,1,2,200,2,128,1,0,21.69
0,10,40,1,1,64,4,0,21.51
0,1,10,32,4,4,20,0,21.69
0,160,2,5,8,8,1,0,21.69
0,8,50,8,2,2,8,0,21.69
0,2,32,5,4,8,10,0,21.69
0,8,8,10,1,4,40,0,21.69
0,16,1,8,200,4,1,0,21.69
0,10,4,16,1,32,5,0,21.69
0,2,10,80,2,16,2,0,21.69
0,4,100,1,2,32,4,0,21.69
0,2,20,16,32,5,1,0,21.69
0,50,1,8,1,128,2,0,21.69
0,1,20,20,2,16,8,0,21.69
0,160,1,1,640,1,1,0,21.69
0,10,32,1,32,1,10,0,21.69
0,2,2,80,2,4,40,0,21.69
0,4,4,200,4,4,2,0,21.69
0,1,8,40,5,16,4,0,21.69
0,2,10,5,4,64,4,0,21.69
0,1,320,2,2,40,2,0,21.69
0,1,200,2,8,16,2,0,21.69
0,1,64,10,1,10,16,0,21.69
0,1,16,20,20,4,4,0,21.69
0,1,640,5,32,1,1,0,21.69
0,8,10,8,1,160,1,0,21.69
0,40,4,1,2,5,64,0,21.69
0,1,100,4,32,8,1,0,21.69
0,1,25,32,8,2,8,0,21.69
0,10,10,4,4,32,2,0,21.69
0,2,1,50,64,16,1,0,21.69
0,80,10,2,2,1,32,0,21.69
