Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
1,16,1,2,32,3,3,1,0.103879
1,6,6,4,2,2,16,1,0.095788
1,1,9,32,1,2,16,1,0.091346
1,24,1,2,16,4,3,1,0.10361
1,8,6,3,2,2,16,1,0.09441
1,16,6,1,4,3,8,1,0.097262
1,2,4,2,8,4,18,1,0.106716
1,1,4,12,2,6,16,1,0.103226
1,8,3,4,1,6,16,1,0.098263
1,8,2,1,2,18,16,1,0.105979
1,18,1,4,32,4,1,1,0.095483
1,24,3,2,1,32,2,1,0.095247
1,1,1,288,2,4,4,1,0.090762
1,1,8,3,64,1,6,1,0.130924
1,16,2,1,32,3,3,1,0.104597
1,48,1,2,2,2,24,1,0.097468
1,1,4,12,1,16,12,1,0.103635
1,2,8,2,8,6,6,1,0.103476
1,3,8,6,8,8,1,1,0.094561
1,1,2,48,4,3,8,1,0.09853
1,18,4,4,2,4,4,1,0.092408
1,8,1,3,1,6,64,1,0.131845
1,12,1,4,16,3,4,1,0.102446
1,3,3,1,1024,1,1,1,0.158795
1,4,1,24,2,4,12,1,0.096939
1,2,8,3,3,4,16,1,0.101989
1,4,3,2,192,1,2,1,0.128715
1,2,3,8,8,12,2,1,0.103953
1,6,4,2,32,1,6,1,0.103411
1,1,2,48,1,4,24,1,0.097667
1,18,1,2,64,1,4,1,0.110407
1,24,1,4,3,16,2,1,0.099043
1,24,1,1,3,32,4,1,0.130112
1,1,8,4,24,6,2,1,0.106397
1,48,2,1,16,2,3,1,0.097382
1,9,2,16,1,2,16,1,0.090906
1,2,24,2,3,8,4,1,0.097851
1,4,1,12,24,2,4,1,0.101236
1,2,2,72,1,8,4,1,0.090861
1,72,2,1,2,32,1,1,0.095189
1,1,12,4,4,2,24,1,0.102126
1,2,2,3,64,12,1,1,0.116005
0,6,1,3,32,1,16,1,0.30862
0,6,2,24,2,16,1,1,0.308457
1,1,6,8,24,2,4,1,0.103135
1,16,1,2,8,6,6,1,0.105022
1,1,8,9,8,8,2,1,0.096115
1,6,2,2,4,4,24,1,0.13219
1,6,2,4,48,1,4,1,0.103849
1,8,6,2,4,6,4,1,0.097577
1,2,2,3,6,64,2,1,0.11365
1,2,8,6,4,1,24,1,0.096935
1,6,2,1,2,12,32,1,0.113986
1,2,1,12,1,48,8,1,0.133173
0,48,2,1,1,8,12,1,0.332161
1,12,2,2,8,8,3,1,0.103782
1,12,4,1,6,2,16,1,0.103684
1,16,1,1,12,3,16,1,0.1066
1,6,4,2,2,8,12,1,0.102795
1,4,12,2,3,16,2,1,0.096594
1,6,2,2,2,48,4,1,0.131886
1,9,1,1,256,2,2,1,0.159244
1,6,3,2,8,1,32,1,0.111459
1,4,2,36,4,2,4,1,0.092236
1,2,3,4,12,4,8,1,0.130992
1,4,2,4,3,3,32,1,0.1044
1,16,1,2,16,18,1,1,0.105069
1,3,1,8,16,1,24,1,0.129946
1,4,1,4,96,3,2,1,0.105736
1,9,1,32,4,8,1,1,0.090333
1,8,2,6,32,1,3,1,0.098842
1,8,1,18,16,1,4,1,0.093695
1,8,6,6,1,2,16,1,0.090361
1,1,1,18,512,1,1,1,0.11752
1,3,2,8,48,2,2,1,0.10133
1,1,2,18,4,16,4,1,0.110024
1,3,6,1,256,2,1,1,0.118683
1,12,4,1,1,8,24,1,1.070227
1,16,1,6,4,24,1,1,0.098272
1,6,16,1,4,4,6,1,0.098473
1,3,1,6,64,1,8,1,0.11792
1,2,9,2,8,2,16,1,0.112551
1,1,1,24,384,1,1,1,0.131003
1,2,36,2,8,1,8,1,0.095029
1,1,16,6,8,6,2,1,0.098743
1,2,24,1,6,16,2,1,0.102075
1,1,18,8,2,1,32,1,0.095119
1,9,32,1,8,4,1,1,0.090395
1,8,3,1,24,1,16,1,0.12841
1,12,1,4,4,48,1,1,0.102585
0,18,8,1,8,4,2,1,0.352062
1,4,4,2,36,2,4,1,0.104454
1,24,2,2,1,2,48,1,0.09817
1,2,48,1,32,3,1,1,0.09803
1,4,3,4,2,2,48,1,0.104694
1,4,36,2,1,2,16,1,0.091626
1,12,1,4,6,8,4,1,0.103272
1,4,3,4,4,1,48,1,0.104908
1,16,1,3,24,4,2,1,0.103698
0,3,1,4,4,48,4,1,0.42663
1,1,3,6,2,8,32,1,0.11589
1,36,2,4,2,8,2,1,0.091678
1,8,6,2,8,12,1,1,0.098989
0,9,1,32,4,8,1,1,0.306604
1,6,1,24,1,1,64,1,0.094261
