gx,gy,gz,bx,by,bz,gpuId,smefficiency
2,1,1024,128,1,1,0,35.13
2,2,512,128,1,1,0,35.13
2,4,256,128,1,1,0,35.11
2,8,128,128,1,1,0,35.14
2,16,64,128,1,1,0,35.13
2,32,32,128,1,1,0,35.11
2,64,16,128,1,1,0,35.13
2,128,8,128,1,1,0,35.14
2,256,4,128,1,1,0,35.11
2,512,2,128,1,1,0,35.14
2,1024,1,128,1,1,0,35.11
4,1,512,128,1,1,0,35.15
4,2,256,128,1,1,0,35.15
4,4,128,128,1,1,0,35.13
4,8,64,128,1,1,0,35.12
4,16,32,128,1,1,0,35.1
4,32,16,128,1,1,0,35.11
4,64,8,128,1,1,0,35.13
4,128,4,128,1,1,0,35.11
4,256,2,128,1,1,0,35.09
4,512,1,128,1,1,0,35.07
8,1,256,128,1,1,0,35.13
8,2,128,128,1,1,0,35.13
8,4,64,128,1,1,0,35.12
8,8,32,128,1,1,0,35.12
8,16,16,128,1,1,0,35.11
8,32,8,128,1,1,0,35.13
8,64,4,128,1,1,0,35.14
8,128,2,128,1,1,0,35.1
8,256,1,128,1,1,0,35.1
16,1,128,128,1,1,0,35.12
16,2,64,128,1,1,0,35.11
16,4,32,128,1,1,0,35.11
16,8,16,128,1,1,0,35.13
16,16,8,128,1,1,0,35.12
16,32,4,128,1,1,0,35.1
16,64,2,128,1,1,0,35.13
16,128,1,128,1,1,0,35.1
32,1,64,128,1,1,0,35.11
32,2,32,128,1,1,0,35.12
32,4,16,128,1,1,0,35.11
32,8,8,128,1,1,0,35.12
32,16,4,128,1,1,0,35.12
32,32,2,128,1,1,0,35.09
32,64,1,128,1,1,0,35.11
64,1,32,128,1,1,0,35.12
64,2,16,128,1,1,0,35.14
64,4,8,128,1,1,0,35.11
64,8,4,128,1,1,0,35.1
64,16,2,128,1,1,0,35.14
64,32,1,128,1,1,0,35.09
128,1,16,128,1,1,0,35.15
128,2,8,128,1,1,0,35.13
128,4,4,128,1,1,0,35.12
128,8,2,128,1,1,0,35.13
128,16,1,128,1,1,0,35.11
256,1,8,128,1,1,0,35.12
256,2,4,128,1,1,0,35.13
256,4,2,128,1,1,0,35.11
256,8,1,128,1,1,0,35.11
512,1,4,128,1,1,0,35.13
512,2,2,128,1,1,0,35.11
512,4,1,128,1,1,0,35.11
1024,1,2,128,1,1,0,35.16
1024,2,1,128,1,1,0,35.13
2048,1,1,128,1,1,0,35.12
1,1,1024,256,1,1,0,19.06
1,2,512,256,1,1,0,19.04
1,4,256,256,1,1,0,19.05
1,8,128,256,1,1,0,19.03
1,16,64,256,1,1,0,19.04
1,32,32,256,1,1,0,19.07
1,64,16,256,1,1,0,19.06
1,128,8,256,1,1,0,19.06
1,256,4,256,1,1,0,19.07
1,512,2,256,1,1,0,19.05
1,1024,1,256,1,1,0,19.04
2,1,512,256,1,1,0,19.02
2,2,256,256,1,1,0,19.04
2,4,128,256,1,1,0,19.05
2,8,64,256,1,1,0,19.06
2,16,32,256,1,1,0,19.08
2,32,16,256,1,1,0,19.07
2,64,8,256,1,1,0,19.06
2,128,4,256,1,1,0,19.06
2,256,2,256,1,1,0,19.03
2,512,1,256,1,1,0,19.05
4,1,256,256,1,1,0,19.04
4,2,128,256,1,1,0,19.05
4,4,64,256,1,1,0,19.08
4,8,32,256,1,1,0,19.07
4,16,16,256,1,1,0,19.06
4,32,8,256,1,1,0,19.06
4,64,4,256,1,1,0,19.05
4,128,2,256,1,1,0,19.05
4,256,1,256,1,1,0,19.05
8,1,128,256,1,1,0,19.05
8,2,64,256,1,1,0,19.05
8,4,32,256,1,1,0,19.07
8,8,16,256,1,1,0,19.07
