Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
0,2,1,16,4,2,16,0,0.071365
0,4,2,1,1,8,64,0,0.24803
1,2,4,8,8,8,1,0,0.070838
0,4,1,2,1,512,1,0,0.248535
1,4,1,1,8,8,16,0,0.495686
0,2,1,64,4,4,2,0,0.071237
1,1,1,128,4,2,4,0,0.070648
1,32,2,1,16,2,2,0,0.070919
0,1,8,16,1,16,2,0,0.071244
1,4,1,1,4,256,1,0,0.495674
1,16,2,4,1,32,1,0,0.070782
1,32,1,4,1,4,8,0,0.070642
1,1,4,2,16,1,32,0,0.24778
0,4,1,1,64,1,16,0,0.491873
1,1,16,8,2,4,4,0,0.070676
1,1,1,4,1024,1,1,0,0.496152
1,1,32,1,1,2,64,0,0.07159
0,1,8,4,64,2,1,0,0.071416
1,2,2,1,16,1,64,0,0.496406
1,1,4,1,512,1,2,0,0.496039
0,4,1,16,16,2,2,0,0.071354
1,32,2,2,1,2,16,0,0.070684
1,4,1,1,16,32,2,0,0.496109
0,4,4,4,2,2,16,0,0.071324
1,2,4,8,8,4,2,0,0.070892
1,1,2,64,16,2,1,0,0.070618
0,16,1,8,4,1,8,0,0.071299
1,1,16,8,1,8,4,0,0.070564
1,8,4,1,2,2,32,0,0.071712
1,8,1,2,64,4,1,0,0.123744
1,8,2,2,4,16,2,0,0.071818
1,16,8,1,4,8,1,0,0.070769
1,4,4,1,32,2,4,0,0.12393
1,1,2,32,2,1,32,0,0.070863
0,1,1,128,8,4,1,0,0.071235
1,8,1,1,64,8,1,0,0.247308
1,1,2,4,8,8,8,0,0.247885
1,2,32,1,2,4,8,0,0.070957
1,8,2,1,128,2,1,0,0.123924
1,1,8,8,2,8,4,0,0.071006
1,1,4,4,4,8,8,0,0.124118
1,4,8,1,16,4,2,0,0.071571
1,16,1,1,8,1,32,0,0.12363
1,16,4,2,1,2,16,0,0.070477
1,2,64,1,16,2,1,0,0.070651
1,1,64,2,8,2,2,0,0.070604
1,2,2,32,1,8,4,0,0.070707
1,1,32,2,16,1,4,0,0.070828
0,1,1,32,16,1,8,0,0.071393
1,1,2,8,32,2,4,0,0.124017
1,2,8,8,1,32,1,0,0.070693
1,2,2,1,2,16,32,0,0.496148
1,2,1,2,8,2,64,0,0.496068
1,2,1,32,8,4,2,0,0.070864
1,16,1,1,4,16,4,0,0.123966
1,1,8,2,8,8,4,0,0.12384
1,8,2,8,4,2,4,0,0.070719
1,32,1,2,1,8,8,0,0.070953
0,1,2,4,2,16,16,0,0.248104
1,2,2,1,1,16,64,0,0.495149
1,2,2,4,4,16,4,0,0.123696
1,8,4,2,2,1,32,0,0.07072
1,2,1,4,8,8,8,0,0.248474
1,1,2,16,16,2,4,0,0.071892
1,4,2,8,64,1,1,0,0.07088
1,8,2,2,32,2,2,0,0.071578
1,4,1,4,16,8,2,0,0.123607
0,16,2,1,8,2,8,0,0.071378
0,8,2,4,8,4,2,0,0.071331
1,8,1,16,1,2,16,0,0.070796
1,8,8,2,8,1,4,0,0.070346
1,4,16,1,4,4,4,0,0.070975
1,8,1,4,16,4,2,0,0.071976
1,1,4,8,128,1,1,0,0.071697
1,2,16,1,2,16,4,0,0.071591
1,1,16,1,8,1,32,0,0.123795
1,2,2,2,2,32,8,0,0.247728
1,2,1,8,16,1,16,0,0.123894
1,8,16,1,8,4,1,0,0.070757
1,32,1,4,2,8,2,0,0.070611
1,2,1,2,2,64,8,0,0.495651
1,2,8,4,4,8,2,0,0.07086
0,2,4,1,128,4,1,0,0.248551
1,4,4,2,16,1,8,0,0.071737
1,1,2,64,1,4,8,0,0.070629
0,2,2,32,1,32,1,0,0.071244
1,16,8,1,2,4,4,0,0.070367
1,2,4,16,1,16,2,0,0.07066
1,32,2,2,4,1,8,0,0.070658
1,1,2,2,64,8,2,0,0.495876
1,32,1,1,1,64,2,0,0.07174
1,1,1,64,2,4,8,0,0.070681
1,16,4,1,32,1,2,0,0.070978
1,32,1,2,2,1,32,0,0.070837
1,16,4,1,4,8,2,0,0.070979
1,4,16,2,32,1,1,0,0.070612
1,4,2,16,2,16,1,0,0.070631
0,8,1,16,1,2,16,0,0.071289
1,1,1,4,16,2,32,0,0.496063
1,2,1,4,1,32,16,0,0.247418
1,4,4,4,1,32,2,0,0.070777
1,4,8,2,2,32,1,0,0.070512
1,1,1,64,1,2,32,0,0.070864
1,4,4,4,2,2,16,0,0.070854
1,1,4,8,2,8,8,0,0.071707
1,4,1,4,4,16,4,0,0.123881
1,1,8,1,8,4,16,0,0.246981
0,2,2,8,4,16,2,0,0.07138
0,8,8,1,2,2,16,0,0.071351
1,4,2,2,1,64,4,0,0.123744
1,1,4,32,1,8,4,0,0.070704
1,2,2,2,256,2,1,0,0.247647
1,8,1,1,64,2,4,0,0.247309
1,8,4,1,32,2,2,0,0.071514
1,16,4,1,8,4,2,0,0.070839
1,2,2,2,2,128,2,0,0.248312
1,8,1,8,4,2,8,0,0.070803
0,1,1,16,1,4,64,0,0.124683
1,8,1,4,64,2,1,0,0.071366
1,16,2,1,32,2,2,0,0.071809
1,4,1,16,4,4,4,0,0.070976
1,8,4,1,4,2,16,0,0.071444
1,4,4,2,4,16,2,0,0.071417
1,4,1,32,8,1,4,0,0.070788
1,2,8,2,8,4,4,0,0.071717
1,2,1,4,16,4,8,0,0.247651
1,2,4,2,8,1,32,0,0.123796
0,4,2,1,4,4,32,0,0.248012
1,4,1,16,4,16,1,0,0.070703
1,16,2,1,2,16,4,0,0.071741
1,2,2,2,8,16,4,0,0.246388
0,4,2,2,32,8,1,0,0.124685
1,8,1,2,4,64,1,0,0.123961
1,2,2,2,8,1,64,0,0.247308
1,4,4,1,16,2,8,0,0.123721
1,1,16,2,1,16,8,0,0.071718
1,1,32,2,32,1,2,0,0.070885
1,2,8,8,4,4,2,0,0.07083
1,2,1,4,8,32,2,0,0.247234
1,4,1,32,4,1,8,0,0.070619
1,8,2,1,32,4,2,0,0.123775
1,2,4,4,1,64,2,0,0.071554
1,64,1,1,16,1,4,0,0.070903
1,4,32,1,4,8,1,0,0.070503
1,1,4,2,4,4,32,0,0.247968
1,1,32,4,4,4,2,0,0.070286
1,2,8,4,8,4,2,0,0.070905
1,8,16,1,8,1,4,0,0.070499
1,1,16,2,64,1,2,0,0.071602
1,1,64,2,2,8,2,0,0.07038
1,2,1,4,32,8,2,0,0.247336
1,2,16,1,4,8,4,0,0.071734
1,1,32,1,16,2,4,0,0.071733
1,4,4,1,128,1,2,0,0.123917
1,1,64,2,4,4,2,0,0.070649
1,1,2,64,4,8,1,0,0.070526
1,16,1,8,8,1,4,0,0.070665
1,2,8,1,2,2,64,0,0.123643
1,1,4,4,32,4,2,0,0.123818
1,2,8,8,16,2,1,0,0.070544
0,1,2,2,2,512,1,0,0.491939
0,1,2,4,128,1,4,0,0.248039
1,8,8,1,2,2,16,0,0.070937
1,2,4,1,1,8,64,0,0.247169
1,16,2,1,64,2,1,0,0.071784
1,2,2,2,2,8,32,0,0.246196
1,1,64,1,1,2,32,0,0.071004
1,4,8,4,1,16,2,0,0.070687
1,16,1,2,1,64,2,0,0.071658
0,2,2,8,8,8,2,0,0.071396
1,4,2,8,1,1,64,0,0.070716
1,1,2,4,8,32,2,0,0.247539
1,4,4,8,4,1,8,0,0.070757
1,1,2,16,1,128,1,0,0.071566
1,4,2,4,2,32,2,0,0.071414
1,1,1,32,2,2,32,0,0.071826
1,2,32,1,64,1,1,0,0.070864
1,1,1,4,32,1,32,0,0.496469
1,1,64,2,2,4,4,0,0.07041
0,32,1,1,16,2,4,0,0.07139
0,1,16,1,8,1,32,0,0.124549
1,2,1,16,1,8,16,0,0.071875
1,1,4,8,1,8,16,0,0.071689
1,16,1,2,1,32,4,0,0.071725
1,2,8,2,2,8,8,0,0.071715
1,1,16,1,1,32,8,0,0.123794
0,4,1,32,1,32,1,0,0.071241
1,8,1,2,1,4,64,0,0.123934
1,1,1,128,1,2,16,0,0.070788
1,2,32,1,2,8,4,0,0.070881
1,8,8,1,64,1,1,0,0.070947
1,2,1,8,128,2,1,0,0.124123
1,2,64,1,1,8,4,0,0.070762
1,2,8,1,2,32,4,0,0.12383
0,1,16,2,4,8,4,0,0.071382
1,1,16,8,1,32,1,0,0.070724
1,1,4,2,2,32,8,0,0.248
1,128,1,1,4,1,8,0,0.070519
1,8,16,1,4,2,4,0,0.070642
1,4,1,1,8,128,1,0,0.495725
1,1,16,1,8,16,2,0,0.123773
1,2,4,8,4,1,16,0,0.071033
1,2,2,16,1,4,16,0,0.070726
1,1,1,16,4,4,16,0,0.123769
1,64,1,2,1,8,4,0,0.070686
1,32,1,1,4,16,2,0,0.07185
1,2,8,8,2,1,16,0,0.070289
1,4,1,8,4,1,32,0,0.071577
1,8,4,1,16,8,1,0,0.071566
1,4,2,2,2,8,16,0,0.123796
1,16,2,1,4,4,8,0,0.071864
1,4,2,8,1,32,2,0,0.070831
1,8,2,1,2,8,16,0,0.123718
1,2,2,1,1024,1,1,0,0.496137
1,1,8,4,32,4,1,0,0.071784
1,2,16,2,8,4,2,0,0.070872
1,1,4,8,2,64,1,0,0.071474
1,2,2,2,16,4,8,0,0.248602
0,2,4,4,16,4,2,0,0.07141
1,1,2,2,128,1,8,0,0.496526
1,2,2,4,1,32,8,0,0.123723
1,4,16,1,8,8,1,0,0.070859
1,1,16,2,8,4,4,0,0.071626
1,32,2,2,1,16,2,0,0.070678
1,8,2,4,32,2,1,0,0.071008
1,1,8,2,4,32,2,0,0.123923
0,1,16,2,8,2,8,0,0.071382
1,2,2,4,2,16,8,0,0.123472
1,4,2,1,128,2,2,0,0.247807
1,4,1,8,2,2,32,0,0.071677
1,4,4,8,2,2,8,0,0.070668
1,2,1,2,16,8,8,0,0.495981
1,8,1,1,256,1,2,0,0.247615
1,1,2,8,2,128,1,0,0.123441
1,2,32,1,1,4,16,0,0.070769
1,64,1,1,2,2,16,0,0.070738
1,1,8,8,1,8,8,0,0.070864
0,64,1,1,4,8,2,0,0.071351
0,1,4,16,2,2,16,0,0.071364
1,2,2,4,1,64,4,0,0.124004
1,4,2,1,128,1,4,0,0.247779
1,8,2,1,16,8,2,0,0.123684
1,4,4,1,4,1,64,0,0.123627
0,2,2,4,1,4,64,0,0.124681
1,4,4,2,64,2,1,0,0.071593
1,16,1,2,4,32,1,0,0.071756
1,4,2,2,16,1,16,0,0.124075
1,1,2,16,4,32,1,0,0.071639
1,4,8,1,128,1,1,0,0.071731
1,4,2,16,16,1,2,0,0.070703
1,1,2,2,16,1,64,0,0.495399
1,2,1,32,32,1,2,0,0.070899
0,4,2,1,2,16,16,0,0.248544
1,1,4,2,256,1,2,0,0.247754
1,16,1,1,8,32,1,0,0.123911
1,1,1,4,1,32,32,0,0.495747
1,16,1,2,8,2,8,0,0.071864
1,4,2,4,16,8,1,0,0.071646
1,32,2,1,2,32,1,0,0.070904
1,4,1,2,16,16,2,0,0.247448
1,4,1,32,2,16,1,0,0.070559
1,1,1,4,128,1,8,0,0.496167
1,1,1,128,2,2,8,0,0.070665
1,1,8,4,32,1,4,0,0.071588
1,2,16,4,1,8,4,0,0.07055
1,1,32,2,8,8,1,0,0.070923
1,2,1,32,4,2,8,0,0.070821
1,64,1,1,4,1,16,0,0.071026
0,2,1,16,128,1,1,0,0.0714
1,8,1,4,4,2,16,0,0.071661
1,1,4,2,16,2,16,0,0.246835
1,2,1,4,128,1,4,0,0.246866
0,1,1,128,2,2,8,0,0.071244
1,1,4,8,2,16,4,0,0.07158
1,4,1,32,4,2,4,0,0.070738
1,2,16,1,1,32,4,0,0.072071
1,2,8,2,2,32,2,0,0.071481
1,2,1,16,2,64,1,0,0.071667
1,4,32,1,8,1,4,0,0.070634
1,2,1,32,2,16,2,0,0.070816
1,4,4,2,1,128,1,0,0.071841
1,1,16,2,2,64,1,0,0.071642
1,2,32,1,4,4,4,0,0.070796
1,1,1,16,2,128,1,0,0.12382
1,64,1,2,4,1,8,0,0.070516
1,4,8,4,16,1,2,0,0.070501
1,32,1,1,1,32,4,0,0.071632
1,8,4,1,8,16,1,0,0.071751
1,4,4,4,1,64,1,0,0.070866
1,1,32,1,32,2,2,0,0.07182
1,1,4,1,64,2,8,0,0.495889
1,2,16,2,32,2,1,0,0.070759
1,2,2,2,128,1,4,0,0.248203
1,4,2,2,2,4,32,0,0.123731
1,2,4,1,1,16,32,0,0.248896
1,4,16,2,1,32,1,0,0.070631
1,2,1,16,4,2,16,0,0.071624
1,8,16,1,2,1,16,0,0.070564
1,4,1,8,16,1,8,0,0.071561
1,2,4,1,4,16,8,0,0.247461
1,8,16,1,1,32,1,0,0.070734
1,2,2,32,2,16,1,0,0.07077
1,4,4,8,1,2,16,0,0.070823
1,1,32,4,2,1,16,0,0.070471
1,32,2,2,8,4,1,0,0.070461
1,16,1,2,8,4,4,0,0.071818
1,1,1,8,256,2,1,0,0.247798
1,2,8,2,16,8,1,0,0.071632
1,8,1,4,8,8,2,0,0.071946
1,4,2,2,1,32,8,0,0.123977
1,1,32,1,2,4,16,0,0.071982
1,2,4,1,64,1,8,0,0.246969
1,16,8,1,4,2,4,0,0.070558
1,1,8,8,4,4,4,0,0.071022
1,1,16,1,32,1,8,0,0.124036
1,16,8,1,4,1,8,0,0.070627
1,1,64,2,1,16,2,0,0.070538
1,1,4,4,256,1,1,0,0.123927
1,8,8,1,1,4,16,0,0.070905
1,1,2,2,32,8,4,0,0.49605
1,1,8,4,4,16,2,0,0.071811
1,16,2,4,2,16,1,0,0.07061
1,2,4,1,2,64,4,0,0.24817
1,1,128,1,2,2,8,0,0.070618
1,1,1,4,4,128,2,0,0.495691
1,1,4,16,4,16,1,0,0.070874
1,1,32,1,1,4,32,0,0.071649
1,1,4,2,16,4,8,0,0.248165
1,8,2,8,1,8,4,0,0.070536
1,8,2,4,32,1,2,0,0.070929
0,4,4,8,1,16,2,0,0.071224
0,1,8,2,64,4,1,0,0.124547
0,2,16,4,16,1,2,0,0.071247
1,1,1,4,2,256,2,0,0.495445
1,1,8,16,1,1,32,0,0.070813
1,4,2,2,1,8,32,0,0.123818
1,4,2,8,16,2,2,0,0.07096
1,4,1,2,2,8,32,0,0.247687
1,2,2,4,8,2,16,0,0.123696
1,8,4,1,8,8,2,0,0.07181
1,1,16,2,8,16,1,0,0.071618
1,16,1,1,8,8,4,0,0.123632
1,32,4,1,2,1,16,0,0.070598
1,1,16,2,8,1,16,0,0.071362
1,32,1,1,4,2,16,0,0.071718
0,4,4,2,16,2,4,0,0.071399
1,16,1,2,8,8,2,0,0.071936
1,1,2,16,8,2,8,0,0.071759
0,2,1,4,8,64,1,0,0.248084
1,1,4,1,1,512,2,0,0.495765
1,1,4,4,32,1,8,0,0.124116
1,2,4,2,16,16,1,0,0.123807
1,1,4,4,1,4,64,0,0.124039
1,4,1,16,32,2,1,0,0.07067
1,1,1,32,1,32,4,0,0.071842
1,2,4,4,16,8,1,0,0.071583
1,2,16,2,4,1,16,0,0.070687
1,1,8,1,16,4,8,0,0.248569
1,2,8,2,16,4,2,0,0.071738
1,2,1,8,16,8,2,0,0.124047
1,1,2,8,1,8,32,0,0.123986
1,1,8,8,32,2,1,0,0.070849
1,4,2,16,2,1,16,0,0.070421
1,1,1,8,1,16,32,0,0.248342
1,32,1,4,4,4,2,0,0.070624
1,2,1,64,4,2,4,0,0.070667
1,8,4,4,16,1,2,0,0.070808
1,2,1,4,4,4,32,0,0.246973
1,4,4,4,1,8,8,0,0.070873
1,16,4,2,2,1,16,0,0.070296
1,2,16,1,8,2,8,0,0.0718
1,4,1,4,4,1,64,0,0.123735
1,1,8,1,8,2,32,0,0.246631
1,1,2,8,1,128,2,0,0.12389
0,1,32,1,8,16,1,0,0.071407
0,1,4,8,32,2,2,0,0.071331
1,8,2,4,64,1,1,0,0.07092
0,8,1,4,1,8,16,0,0.071394
1,4,2,2,2,32,4,0,0.124103
0,1,2,2,4,256,1,0,0.492034
0,1,32,1,32,2,2,0,0.071404
0,4,4,1,1,64,4,0,0.124533
0,4,1,16,1,64,1,0,0.071345
1,1,64,1,16,4,1,0,0.070864
1,1,64,1,4,2,8,0,0.070784
0,1,4,16,8,4,2,0,0.071294
1,4,4,2,1,4,32,0,0.071434
0,4,1,1,4,16,16,0,0.49187
1,16,2,2,2,2,16,0,0.070792
1,2,2,16,4,2,8,0,0.070701
0,1,1,64,8,8,1,0,0.071328
1,8,1,2,128,2,1,0,0.123661
1,2,1,2,4,16,16,0,0.495325
1,1,2,4,32,4,4,0,0.248152
0,16,1,1,1,16,16,0,0.124529
1,1,4,8,1,16,8,0,0.071561
0,1,1,64,1,2,32,0,0.071333
1,1,2,4,4,16,8,0,0.248314
1,1,4,1,16,8,8,0,0.496
0,1,2,32,2,16,2,0,0.07136
0,1,4,4,2,16,8,0,0.124547
0,16,4,2,4,2,4,0,0.071251
1,1,1,64,1,16,4,0,0.070597
1,2,32,1,1,64,1,0,0.070853
1,1,2,2,256,4,1,0,0.496015
0,2,1,8,1,64,4,0,0.124542
0,2,2,1,4,8,32,0,0.491889
1,4,2,8,2,4,8,0,0.070661
1,32,1,2,1,64,1,0,0.07078
1,4,2,2,16,8,2,0,0.124104
1,8,8,2,1,2,16,0,0.070574
1,1,16,2,2,16,4,0,0.071904
1,8,1,2,16,8,2,0,0.123731
1,32,1,1,4,8,4,0,0.071658
1,4,1,16,8,2,4,0,0.070917
1,1,2,8,2,64,2,0,0.123888
1,64,1,1,64,1,1,0,0.070724
1,32,1,1,8,4,4,0,0.071581
1,1,2,4,16,4,8,0,0.247905
1,4,8,2,1,4,16,0,0.070863
1,8,2,2,128,1,1,0,0.071733
1,1,8,2,32,4,2,0,0.123443
0,16,2,1,16,8,1,0,0.071393
1,1,1,16,16,2,8,0,0.123719
1,1,4,32,16,2,1,0,0.070725
1,1,4,2,4,64,2,0,0.246842
1,16,1,4,2,16,2,0,0.070997
1,4,1,32,8,2,2,0,0.070363
1,8,1,1,2,32,8,0,0.24801
1,2,2,8,1,16,8,0,0.071848
0,2,2,2,16,4,8,0,0.248665
1,2,16,1,1,4,32,0,0.07091
0,2,4,8,16,1,4,0,0.071352
1,4,2,4,8,1,16,0,0.07176
1,1,2,2,2,8,64,0,0.495755
1,4,4,8,32,1,1,0,0.070803
1,2,2,2,4,16,8,0,0.246777
1,1,4,2,2,256,1,0,0.247174
1,4,2,16,1,16,2,0,0.070632
1,1,2,16,4,16,2,0,0.0717
