Kernel,gx,gy,gz,bx,by,bz,gpuId,gld_efficiency
1,3,9,8,16,12,2,0,12.5
1,3,12,12,24,8,1,0,12.5
0,12,54,2,32,1,2,0,90.28
0,54,1,16,2,1,48,0,90.28
1,3,4,24,8,12,3,0,12.5
1,72,2,9,1,16,4,0,12.5
1,12,3,4,4,18,8,0,12.5
1,9,2,6,8,24,4,0,12.5
1,24,6,6,8,12,1,0,12.5
1,1,144,2,3,12,8,0,12.5
1,2,9,12,4,2,48,0,12.5
1,6,144,3,8,4,1,0,12.5
1,32,3,1,36,2,12,0,12.5
1,6,1,24,4,3,48,0,12.5
1,1,3,48,32,9,2,0,12.5
1,1,72,4,2,36,4,0,12.5
1,4,9,3,128,3,2,0,12.5
1,6,3,12,8,16,3,0,12.5
1,108,2,2,4,12,4,0,12.5
1,54,2,24,4,4,2,0,12.5
1,1,54,48,1,32,1,0,12.5
1,1,48,3,4,72,2,0,12.5
1,12,2,9,6,1,64,0,12.5
1,6,18,2,12,32,1,0,12.5
1,24,6,3,8,12,2,0,12.5
1,54,2,8,4,6,4,0,12.5
1,9,2,18,8,8,4,0,12.5
1,8,4,3,18,6,8,0,12.5
1,18,1,18,4,64,1,0,12.5
1,2,9,144,2,8,2,0,12.5
1,12,3,4,1,72,8,0,12.5
1,24,6,1,16,9,4,0,12.5
1,2,24,2,48,1,18,0,12.5
1,24,6,1,1,24,24,0,12.5
0,3,1,36,24,2,16,0,90.28
1,9,4,8,16,18,1,0,12.5
1,3,1,27,4,8,32,0,12.5
1,9,1,9,16,32,2,0,12.5
1,24,6,6,1,2,48,0,12.5
1,2,3,144,2,3,16,0,12.5
1,6,16,3,2,4,36,0,12.5
0,2,12,6,6,32,3,0,90.28
0,32,1,3,6,144,1,0,90.28
1,2,27,2,192,1,4,0,12.5
1,18,1,16,3,8,12,0,12.5
1,48,18,3,8,2,2,0,12.5
1,1,162,2,32,4,2,0,12.5
1,9,1,12,2,8,48,0,12.5
1,1,16,18,1,288,1,0,12.5
1,9,2,6,8,48,2,0,12.5
1,16,3,27,8,8,1,0,12.5
0,1,108,3,4,2,32,0,90.28
1,36,3,1,192,4,1,0,12.5
1,54,6,1,4,16,4,0,12.5
1,9,48,3,2,32,1,0,12.5
1,3,12,6,2,6,32,0,12.5
1,12,4,9,1,12,16,0,12.5
1,12,6,3,4,6,16,0,12.5
0,2,48,1,48,9,2,0,90.28
1,2,18,8,6,16,3,0,12.5
0,4,81,8,2,2,8,0,90.28
1,2,36,4,12,1,24,0,12.5
1,144,3,2,2,24,2,0,12.5
1,2,2,216,3,8,4,0,12.5
1,1,81,1,2,512,1,0,12.5
1,12,12,6,16,2,3,0,12.5
1,2,18,4,64,1,9,0,12.5
1,18,4,2,6,16,6,0,12.5
0,18,4,2,6,8,12,0,90.28
1,36,1,4,72,2,4,0,12.5
1,72,3,2,8,4,6,0,12.5
1,1,4,24,1,16,54,0,12.5
1,1,288,1,48,1,6,0,12.5
1,3,6,8,48,3,4,0,12.5
1,9,96,3,1,32,1,0,12.5
1,16,3,6,144,2,1,0,12.5
1,4,18,12,2,1,48,0,12.5
1,2,1,48,3,18,16,0,12.5
1,24,3,3,24,16,1,0,12.5
0,8,12,9,1,2,48,0,90.28
1,12,12,2,2,8,18,0,12.5
1,3,24,4,8,6,6,0,12.5
1,3,6,6,48,8,2,0,12.5
1,9,3,4,1,32,24,0,12.5
1,24,2,3,6,32,3,0,12.5
1,9,6,4,12,16,2,0,12.5
1,9,9,4,32,4,2,0,12.5
1,6,2,24,6,1,48,0,12.5
1,1,4,27,64,12,1,0,12.5
1,72,2,6,12,2,4,0,12.5
1,96,1,1,8,27,4,0,12.5
1,24,18,1,8,24,1,0,12.5
1,144,1,2,3,12,8,0,12.5
1,18,24,1,4,12,4,0,12.5
1,12,1,36,64,1,3,0,12.5
0,1,18,48,1,4,24,0,90.28
1,6,8,9,1,24,8,0,12.5
0,24,3,2,18,16,2,0,90.28
1,4,1,24,12,2,36,0,12.5
1,18,6,12,2,1,32,0,12.5
1,144,1,2,1,8,36,0,12.5
1,3,1,32,18,16,3,0,12.5
1,3,2,48,2,3,48,0,12.5
1,18,8,1,6,6,16,0,12.5
1,1,18,8,6,32,3,0,12.5
1,36,2,9,8,4,4,0,12.5
1,3,8,18,1,48,4,0,12.5
1,72,1,2,8,8,9,0,12.5
1,8,9,2,16,18,2,0,12.5
1,1,6,24,4,6,24,0,12.5
1,48,1,3,96,1,6,0,12.5
1,3,2,72,6,32,1,0,12.5
1,8,2,27,12,4,4,0,12.5
1,6,3,48,1,48,2,0,12.5
1,16,1,6,6,48,3,0,12.5
1,16,27,1,3,16,4,0,12.5
1,6,12,6,24,2,4,0,12.5
1,3,3,16,18,1,32,0,12.5
1,2,2,36,1,9,64,0,12.5
0,9,36,4,4,8,2,0,90.28
1,2,1,162,4,2,32,0,12.5
1,1,6,24,12,3,16,0,12.5
1,2,24,3,1,96,6,0,12.5
1,6,1,16,48,18,1,0,12.5
1,81,4,1,8,8,4,0,12.5
1,12,3,8,2,24,6,0,12.5
1,27,4,12,4,2,8,0,12.5
1,3,144,6,4,8,1,0,12.5
0,8,2,9,2,12,24,0,90.28
1,96,3,1,16,1,18,0,12.5
1,6,9,2,16,4,12,0,12.5
1,8,6,2,36,6,4,0,12.5
1,1,3,32,18,4,12,0,12.5
1,8,9,6,24,4,2,0,12.5
1,8,1,18,2,96,3,0,12.5
0,54,6,1,8,32,1,0,90.28
